Sorszám,Neme?,Életkora,Városban lakik?,A legmagasabb iskolai végzettsége,Hányan élnek egy háztartásban?,"Hogy érzi, mennyire boldog? A jelenlegi élethelyzetében a létra melyik fokán áll?",Hogyan érzékeli a szakmai pályafutását? Jelenleg melyik fokon áll karrier szempontjából?,Hogyan érzékeli az egészségi állapotát? Jelenleg  melyik fokon áll egészségileg?,Milyeneknek érzi a baráti kapcsolatait? Jelenleg  melyik fokon áll az emberi kapcsolatokban?,"Milyennek érzékeli a természeti környezetet, amely körülveszi? Jelenleg  melyik fokon áll a környezetével kapcsolatokban?",Megfelelő kikapcsolódási és szórakozási lehetőségei vannak? Jelenleg  melyik fokon áll a kikapcsolódás és szórakozás terén?,Vallásos-e ön?,Hogyan látja a jövőt? A boldogságát tekintve melyik fokon fog állni 5 év múlva?,Hogyan érzékeli az anyagi helyzetét? Jelenleg  melyik fokon áll anyagilag?,Milyeneknek érzi a családi kapcsolatait? Jelenleg  melyik fokon áll a családi kapcsolatokban?,Egy főre jutó nettó jövedelem a háztartásban,Munkaviszonya,Végez hetente legalább 3-szor legkevesebb 30 perc testmozgást?,"Milyen lesz a természeti környezet, amely körülveszi? 5 év múlva melyik fokon fog állni a környezetével kapcsolatokban?",Milyen a spiritualitással való kapcsolata? Jelenleg a létra melyik fokán áll a spiritualitás terén?,"Ha bajba kerül vagy problémája adódik, van-e valaki a családjában vagy a közvetlen környezetében, akinek a segítségére vagy támogatására számíthat?","Melyik székely szék településén van állandó lakhelye? (Az, ahol valóban lakik, nem az, amit a személyazonossági igazolványa ír.)","Szokott-e pénzzel vagy önkéntes munkával segíteni rászorulóknak, esetleg a rászorulókat támogató szervezeteknek? ",Adományozott-e pénzt (bármilyen csekély összeget) az elmúlt hónapban?,"Leggyakrabban (nem a jelen pillanatban) milyen a kedélyállapota? Ha az előző szakaszban említett létrán 0 a mély depresszió és 10 a maximális eufória, akkor jelenleg a létra melyik fokán áll általános kedélyállapotát tekintve?","Az ön közvetlen családjában (szülők, testvérek, házastárs, vagy gyermek) volt-e öngyilkossági kísérlet?","Önnek, személy szerint volt-e öngyilkossági kísérlete?","Úgy érzi, hogy van elég választási szabadsága, amikor fontos élethelyzetekben kell döntenie?",Korruptnak tartja-e a kormányzatot?,Korruptnak tartja-e a székelyföldi politikusokat?,Korruptnak tartja-e a székelyföldi üzletembereket? A helyi gazdasági életben csak korrupcióval lehet érvényesülni?,,
735,nő,25-34,Nem,középiskola,5 vagy több,4,8,6,7,6,2,"valamennyire igen, de nem járok templomba",5,6,7,999 RON alatt,Alkalmazott,igen,6,6,Igen,Csíkszék,"Mindig segítek ha kérnek. Nem tudok ""Nem!""-et mondani.",Igen,6,Igen,Nem,Nem,Igen!,Igen!,Igen!,,
736,férfi,25-34,Nem,középiskola,3,5,2,9,4,5,2,"valamennyire igen, de nem járok templomba",6,6,6,1000 - 1999 RON között,Alkalmazott,igen,5,4,Igen,Kézdiszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,1,Igen,Nem,Igen,Nem!,Nem!,Igen!,,
737,férfi,25-34,Igen,felsőfokú,3,5,8,8,5,6,2,"valamennyire igen, évente többször járok templomba",5,5,7,1000 - 1999 RON között,Alkalmazott,igen,3,6,Igen,Udvarhelyszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,5,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
738,férfi,35-44,Nem,középiskola,5 vagy több,6,5,7,7,5,2,"valamennyire igen, évente többször járok templomba",7,5,7,999 RON alatt,Gazdálkodó,igen,5,8,Igen,Csíkszék,"Mindig segítek ha kérnek. Nem tudok ""Nem!""-et mondani.",Igen,6,Igen,Igen,Nem,Igen!,Igen!,Igen!,,
739,nő,35-44,Nem,középiskola,5 vagy több,3,0,1,10,7,1,"igen, heti rendszerességgel járok templomba",3,1,10,999 RON alatt,Háztartásbeli,igen,6,0,Igen,Csíkszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,1,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
740,férfi,35-44,Igen,felsőfokú,egyedül él,8,6,9,6,8,8,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",8,6,7,999 RON alatt,Munkanélküli,igen,8,2,Igen,Csíkszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,6,Igen,Nem,Igen,Igen!,Igen!,Igen!,,
741,férfi,35-44,Igen,felsőfokú,egyedül él,6,8,9,7,6,7,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",7,8,8,3000 RON fölött,Alkalmazott,igen,6,5,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
742,nő,25-34,Nem,felsőfokú,2,8,8,7,8,9,7,"igen, heti rendszerességgel járok templomba",9,8,9,2000 - 2999 RON között,Alkalmazott,igen,9,7,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,7,Nem,Nem,Igen,Nem!,Nem!,Igen!,,
743,nő,35-44,Nem,felsőfokú,4,7,7,10,5,8,3,"valamennyire igen, évente többször járok templomba",10,8,7,1000 - 1999 RON között,Alkalmazott,nem,8,8,Igen,Gyergyószék,"Mindig segítek ha kérnek. Nem tudok ""Nem!""-et mondani.",Igen,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
744,férfi,45-54,Igen,középiskola,3,9,8,10,10,10,9,"igen, heti rendszerességgel járok templomba",10,8,10,1000 - 1999 RON között,Alkalmazott,igen,9,10,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,9,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
745,nő,35-44,Nem,felsőfokú,4,8,9,8,9,7,3,"igen, heti rendszerességgel járok templomba",9,7,9,999 RON alatt,Alkalmazott,igen,10,10,Igen,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,8,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
746,nő,15-24,Nem,középiskola,5 vagy több,7,7,10,9,8,6,"igen, heti rendszerességgel járok templomba",9,6,6,999 RON alatt,Tanuló / diák,igen,9,10,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,9,Nem,Nem,Nem,Igen!,Igen!,Nem!,,
747,nő,35-44,Nem,felsőfokú,3,8,4,8,8,7,7,"igen, heti rendszerességgel járok templomba",10,5,8,1000 - 1999 RON között,Háztartásbeli,,9,7,Igen,Kézdiszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,8,Nem,Nem,Nem,Igen!,Igen!,Nem!,,
748,férfi,25-34,Nem,felsőfokú,4,10,5,10,7,10,6,"igen, heti rendszerességgel járok templomba",10,5,8,1000 - 1999 RON között,Alkalmazott,nem,10,7,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
749,nő,15-24,Igen,középiskola,4,8,6,8,8,7,8,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",9,4,10,1000 - 1999 RON között,Tanuló / diák,igen,7,0,Igen,Csíkszék,Természetesen. Én is tagja vagyok egy ilyen szervezetnek.,Nem,7,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
750,nő,25-34,Nem,felsőfokú,3,6,4,8,10,9,7,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",8,4,10,1000 - 1999 RON között,Alkalmazott,igen,9,6,Igen,Kézdiszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,8,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
751,férfi,35-44,Igen,felsőfokú,4,7,5,4,7,7,6,"valamennyire igen, évente többször járok templomba",8,5,7,3000 RON fölött,Alkalmazott,,8,6,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,6,Igen,Igen,Nem,Igen!,Igen!,Igen!,,
752,nő,15-24,Igen,felsőfokú,5 vagy több,5,5,9,8,9,4,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",9,3,4,999 RON alatt,Tanuló / diák,nem,10,5,Igen,Udvarhelyszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Igen,7,Igen,Nem,Igen,Igen!,Nem!,Nem!,,
753,férfi,15-24,Nem,középiskola,5 vagy több,6,6,4,4,5,4,"valamennyire igen, évente többször járok templomba",5,6,3,1000 - 1999 RON között,Tanuló / diák,nem,3,5,Nem,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,3,Nem,Igen,Nem,Igen!,Nem!,Nem!,,
754,nő,15-24,Igen,középiskola,4,7,4,9,5,6,5,"valamennyire igen, évente többször járok templomba",5,3,9,999 RON alatt,Tanuló / diák,igen,0,0,Igen,Marosszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,5,Nem,Nem,Igen,Igen!,Nem!,Igen!,,
755,nő,25-34,Igen,felsőfokú,3,10,5,7,9,5,5,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",10,5,9,1000 - 1999 RON között,Egyéb,,8,8,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
756,nő,15-24,Igen,felsőfokú,egyedül él,9,9,10,9,9,9,"valamennyire igen, évente többször járok templomba",9,9,10,2000 - 2999 RON között,Vállalkozó / cégtulajdonos,nem,10,9,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,8,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
757,nő,15-24,Igen,felsőfokú,2,8,9,8,8,9,8,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",10,6,9,999 RON alatt,Tanuló / diák,nem,10,9,Igen,Csíkszék,Soha. Ők a felelősek azért amiért bajba jutottak,Nem,8,Nem,Igen,Igen,Igen!,Igen!,Nem!,,
758,férfi,55-64,Igen,középiskola,2,2,5,1,6,9,5,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",4,1,8,999 RON alatt,Nyugdíjas,igen,9,3,Igen,Udvarhelyszék,"Mindig segítek ha kérnek. Nem tudok ""Nem!""-et mondani.",Igen,4,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
759,férfi,35-44,Igen,felsőfokú,2,7,7,10,9,9,8,"valamennyire igen, de nem járok templomba",8,8,10,3000 RON fölött,Alkalmazott,igen,9,5,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,7,Nem,Nem,Igen,Igen!,Nem!,Igen!,,
760,férfi,25-34,Nem,középiskola,4,7,6,8,9,6,7,"valamennyire igen, de nem járok templomba",6,6,10,1000 - 1999 RON között,Alkalmazott,nem,6,8,Igen,Gyergyószék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
761,férfi,35-44,Igen,felsőfokú,2,8,8,8,8,8,8,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",9,7,8,3000 RON fölött,Alkalmazott,nem,9,6,Igen,Csíkszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Nem,8,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
762,nő,45-54,Nem,középiskola,4,7,8,8,9,8,6,"valamennyire igen, évente többször járok templomba",6,3,9,1000 - 1999 RON között,Alkalmazott,igen,8,5,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
763,nő,45-54,Igen,felsőfokú,4,9,9,8,10,8,6,"valamennyire igen, évente többször járok templomba",10,7,8,1000 - 1999 RON között,Alkalmazott,igen,10,8,Igen,Udvarhelyszék,Természetesen. Én is tagja vagyok egy ilyen szervezetnek.,Igen,9,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
764,férfi,55-64,Igen,felsőfokú,2,8,9,9,6,8,7,"igen, heti rendszerességgel járok templomba",8,8,7,3000 RON fölött,Vállalkozó / cégtulajdonos,nem,8,8,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
765,férfi,35-44,Nem,felsőfokú,2,0,8,0,3,5,5,"valamennyire igen, évente többször járok templomba",1,8,7,3000 RON fölött,Vállalkozó / cégtulajdonos,nem,0,8,Igen,Csíkszék,"Mindig segítek ha kérnek. Nem tudok ""Nem!""-et mondani.",Igen,1,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
766,férfi,45-54,Nem,középiskola,2,10,10,10,10,9,10,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",10,7,10,1000 - 1999 RON között,Egyéb,nem,10,9,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,9,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
767,férfi,25-34,Igen,felsőfokú,egyedül él,2,1,9,6,7,6,"igen, heti rendszerességgel járok templomba",4,2,7,1000 - 1999 RON között,Alkalmazott,igen,6,7,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
768,férfi,25-34,Igen,középiskola,2,3,0,9,3,10,5,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",2,10,7,3000 RON fölött,Alkalmazott,igen,10,6,Igen,Gyergyószék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,2,Nem,Nem,Nem,Igen!,Nem!,Nem!,,
769,nő,45-54,Igen,középiskola,2,8,8,8,6,7,7,"igen, heti rendszerességgel járok templomba",8,8,5,2000 - 2999 RON között,Alkalmazott,nem,7,7,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,7,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
770,férfi,35-44,Nem,felsőfokú,4,8,8,9,8,9,9,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",9,7,9,1000 - 1999 RON között,Vállalkozó / cégtulajdonos,nem,7,2,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
771,nő,35-44,Igen,felsőfokú,4,8,9,8,9,9,8,"valamennyire igen, évente többször járok templomba",9,8,9,1000 - 1999 RON között,Alkalmazott,igen,9,6,Igen,Gyergyószék,Természetesen. Én is tagja vagyok egy ilyen szervezetnek.,Igen,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
772,nő,25-34,Nem,középiskola,4,4,3,9,9,10,4,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",7,3,5,1000 - 1999 RON között,Alkalmazott,igen,5,6,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,5,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
773,nő,25-34,Nem,középiskola,4,4,3,9,9,10,4,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",7,3,5,1000 - 1999 RON között,Alkalmazott,igen,5,6,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,5,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
774,nő,15-24,Igen,középiskola,4,8,4,10,8,8,8,"igen, heti rendszerességgel járok templomba",8,6,10,999 RON alatt,Tanuló / diák,igen,7,7,Igen,Udvarhelyszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,7,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
775,férfi,35-44,Igen,középiskola,3,8,8,10,6,8,8,"valamennyire igen, évente többször járok templomba",8,7,9,1000 - 1999 RON között,Alkalmazott,igen,8,5,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
776,nő,25-34,Igen,felsőfokú,2,8,6,8,2,7,6,"valamennyire igen, évente többször járok templomba",8,6,7,1000 - 1999 RON között,Alkalmazott,,7,4,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
777,férfi,35-44,Igen,felsőfokú,4,9,8,10,9,10,8,"valamennyire igen, évente többször járok templomba",10,10,8,3000 RON fölött,Vállalkozó / cégtulajdonos,igen,10,8,Igen,Csíkszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,9,Nem,Nem,Igen,Nem!,Nem!,Nem!,,
778,férfi,55-64,Igen,felsőfokú,egyedül él,8,9,8,7,8,6,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",10,10,10,3000 RON fölött,Vállalkozó / cégtulajdonos,igen,9,9,Igen,Gyergyószék,"Mindig segítek ha kérnek. Nem tudok ""Nem!""-et mondani.",Igen,9,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
779,férfi,35-44,Nem,felsőfokú,5 vagy több,9,10,8,8,9,8,"igen, heti rendszerességgel járok templomba",10,9,9,1000 - 1999 RON között,Alkalmazott,nem,10,9,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,8,Igen,Nem,Igen,Igen!,Igen!,Nem!,,
780,nő,45-54,Nem,felsőfokú,3,9,9,7,10,4,10,"valamennyire igen, évente többször járok templomba",9,9,8,1000 - 1999 RON között,Alkalmazott,igen,1,9,Igen,Csíkszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
781,férfi,35-44,Igen,felsőfokú,egyedül él,7,7,9,7,7,8,"valamennyire igen, de nem járok templomba",9,7,8,2000 - 2999 RON között,Alkalmazott,igen,8,6,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
782,nő,25-34,Nem,felsőfokú,3,8,5,8,7,5,7,"valamennyire igen, évente többször járok templomba",9,5,8,999 RON alatt,Vállalkozó / cégtulajdonos,igen,7,6,Igen,Gyergyószék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,6,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
783,nő,35-44,Igen,felsőfokú,5 vagy több,8,7,8,9,8,9,"valamennyire igen, évente többször járok templomba",8,7,10,1000 - 1999 RON között,Alkalmazott,igen,8,9,Igen,Gyergyószék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
784,férfi,25-34,Nem,felsőfokú,3,8,7,10,9,9,7,"igen, heti rendszerességgel járok templomba",9,5,10,1000 - 1999 RON között,Alkalmazott,nem,7,9,Igen,Gyergyószék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
785,nő,15-24,Igen,középiskola,5 vagy több,8,6,9,9,8,8,"valamennyire igen, évente többször járok templomba",10,4,9,1000 - 1999 RON között,Tanuló / diák,igen,10,7,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,8,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
786,nő,55-64,Igen,felsőfokú,2,9,9,8,6,7,6,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",8,8,8,2000 - 2999 RON között,Vállalkozó / cégtulajdonos,igen,6,2,Igen,Csíkszék,"Mindig segítek ha kérnek. Nem tudok ""Nem!""-et mondani.",Nem,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
787,nő,55-64,Igen,felsőfokú,egyedül él,6,8,6,6,7,8,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",5,5,9,1000 - 1999 RON között,Alkalmazott,nem,7,5,Igen,Gyergyószék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Nem,7,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
788,nő,25-34,Nem,felsőfokú,4,8,7,7,9,8,9,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",10,6,9,999 RON alatt,Alkalmazott,igen,9,8,Igen,Kézdiszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,9,Igen,Igen,Igen,Igen!,Igen!,Igen!,,
789,nő,35-44,Igen,felsőfokú,4,7,2,4,5,8,6,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",8,5,7,1000 - 1999 RON között,Vállalkozó / cégtulajdonos,igen,8,4,Igen,Gyergyószék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,7,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
790,férfi,25-34,Nem,felsőfokú,3,7,7,8,6,7,5,"valamennyire igen, de nem járok templomba",9,7,8,1000 - 1999 RON között,Alkalmazott,igen,9,5,Igen,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,8,Nem,Nem,Igen,Nem!,Igen!,Igen!,,
791,férfi,25-34,Igen,felsőfokú,4,10,8,10,10,10,10,"valamennyire igen, évente többször járok templomba",10,7,10,1000 - 1999 RON között,Alkalmazott,igen,10,9,Igen,Udvarhelyszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,10,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
792,nő,45-54,Igen,felsőfokú,4,7,8,7,8,9,7,"valamennyire igen, évente többször járok templomba",8,4,5,1000 - 1999 RON között,Alkalmazott,igen,9,8,Igen,Gyergyószék,Természetesen. Én is tagja vagyok egy ilyen szervezetnek.,Nem,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
793,nő,25-34,Nem,felsőfokú,4,8,3,6,10,5,3,"valamennyire igen, évente többször járok templomba",9,8,9,999 RON alatt,Alkalmazott,igen,3,8,Igen,Gyergyószék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
794,nő,25-34,Igen,felsőfokú,4,7,4,10,7,8,5,"valamennyire igen, évente többször járok templomba",6,4,8,999 RON alatt,Alkalmazott,igen,6,6,Igen,Gyergyószék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,7,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
795,férfi,35-44,Igen,felsőfokú,5 vagy több,10,8,10,8,5,3,"igen, heti rendszerességgel járok templomba",7,5,10,1000 - 1999 RON között,Alkalmazott,,5,8,Igen,Gyergyószék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,9,Igen,Nem,Nem,Igen!,Igen!,Igen!,,
796,nő,65-74,Nem,felsőfokú,2,8,9,6,5,9,5,"igen, heti rendszerességgel járok templomba",8,9,10,2000 - 2999 RON között,Nyugdíjas,igen,9,7,Igen,Csíkszék,"Mindig segítek ha kérnek. Nem tudok ""Nem!""-et mondani.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
797,férfi,35-44,Igen,középiskola,4,4,8,4,4,6,2,"valamennyire igen, évente többször járok templomba",6,3,8,999 RON alatt,Vállalkozó / cégtulajdonos,nem,6,3,Igen,Gyergyószék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,6,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
798,nő,25-34,Igen,felsőfokú,2,9,8,10,9,9,9,"igen, heti rendszerességgel járok templomba",10,8,10,2000 - 2999 RON között,Alkalmazott,nem,9,9,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,9,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
799,férfi,35-44,Nem,felsőfokú,2,4,2,7,9,7,7,"igen, heti rendszerességgel járok templomba",6,3,8,1000 - 1999 RON között,Alkalmazott,igen,7,5,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,5,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
800,férfi,35-44,Igen,felsőfokú,2,8,8,9,9,9,9,"valamennyire igen, évente többször járok templomba",8,7,9,2000 - 2999 RON között,Alkalmazott,igen,9,9,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
801,férfi,25-34,Igen,középiskola,4,7,2,7,6,9,9,"valamennyire igen, de nem járok templomba",9,5,9,1000 - 1999 RON között,Alkalmazott,nem,9,8,Igen,Sepsiszék,Természetesen. Én is tagja vagyok egy ilyen szervezetnek.,Nem,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
802,férfi,35-44,Igen,felsőfokú,4,6,3,10,7,9,6,"valamennyire igen, évente többször járok templomba",5,4,8,2000 - 2999 RON között,Vállalkozó / cégtulajdonos,igen,8,3,Igen,Csíkszék,Természetesen. Én is tagja vagyok egy ilyen szervezetnek.,Igen,6,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
803,nő,35-44,Igen,felsőfokú,3,9,9,10,10,10,9,"valamennyire igen, de nem járok templomba",10,8,10,999 RON alatt,Alkalmazott,igen,9,9,Igen,Sepsiszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,8,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
804,nő,35-44,Nem,felsőfokú,5 vagy több,9,7,9,4,9,4,"igen, heti rendszerességgel járok templomba",10,8,8,999 RON alatt,Alkalmazott,nem,9,0,Igen,Gyergyószék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,9,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
805,nő,15-24,Nem,középiskola,5 vagy több,8,7,8,10,9,8,"igen, heti rendszerességgel járok templomba",9,7,10,999 RON alatt,Alkalmazott,igen,9,0,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,9,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
806,férfi,15-24,Igen,felsőfokú,4,4,1,7,3,4,3,nem hiszek semmilyen vallásban vagy teremtőben,4,1,7,1000 - 1999 RON között,Tanuló / diák,igen,6,0,Igen,Gyergyószék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,4,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
807,férfi,15-24,Igen,felsőfokú,5 vagy több,8,8,10,9,10,10,"valamennyire igen, évente többször járok templomba",10,10,9,2000 - 2999 RON között,Tanuló / diák,igen,10,8,Igen,Gyergyószék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,7,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
