
Sexe, Grupe de varsta , Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Masculin, 40-44 ani, Harghita, Anul 2003, Numar persoane, 59
Masculin, 40-44 ani, Harghita, Anul 2004, Numar persoane, 50
Masculin, 40-44 ani, Harghita, Anul 2005, Numar persoane, 45
Masculin, 40-44 ani, Harghita, Anul 2006, Numar persoane, 40
Masculin, 40-44 ani, Harghita, Anul 2007, Numar persoane, 38
Masculin, 40-44 ani, Harghita, Anul 2008, Numar persoane, 48
Masculin, 40-44 ani, Harghita, Anul 2009, Numar persoane, 47
Masculin, 40-44 ani, Harghita, Anul 2010, Numar persoane, 54
Masculin, 40-44 ani, Harghita, Anul 2011, Numar persoane, 48
Masculin, 40-44 ani, Harghita, Anul 2012, Numar persoane, 41
Masculin, 40-44 ani, Mures, Anul 1999, Numar persoane, 143
Masculin, 40-44 ani, Mures, Anul 2000, Numar persoane, 136
Masculin, 40-44 ani, Mures, Anul 2001, Numar persoane, 112
Masculin, 40-44 ani, Mures, Anul 2002, Numar persoane, 122
Masculin, 40-44 ani, Mures, Anul 2003, Numar persoane, 96
Masculin, 40-44 ani, Mures, Anul 2004, Numar persoane, 84
Masculin, 40-44 ani, Mures, Anul 2005, Numar persoane, 85
Masculin, 40-44 ani, Mures, Anul 2006, Numar persoane, 77
Masculin, 40-44 ani, Mures, Anul 2007, Numar persoane, 73
Masculin, 40-44 ani, Mures, Anul 2008, Numar persoane, 80
Masculin, 40-44 ani, Mures, Anul 2009, Numar persoane, 100
Masculin, 40-44 ani, Mures, Anul 2010, Numar persoane, 84
Masculin, 40-44 ani, Mures, Anul 2011, Numar persoane, 81
Masculin, 40-44 ani, Mures, Anul 2012, Numar persoane, 88
Masculin, 45-49 ani, TOTAL, Anul 1999, Numar persoane, 7052
Masculin, 45-49 ani, TOTAL, Anul 2000, Numar persoane, 6856
Masculin, 45-49 ani, TOTAL, Anul 2001, Numar persoane, 7298
Masculin, 45-49 ani, TOTAL, Anul 2002, Numar persoane, 7436
Masculin, 45-49 ani, TOTAL, Anul 2003, Numar persoane, 7360
Masculin, 45-49 ani, TOTAL, Anul 2004, Numar persoane, 6793
Masculin, 45-49 ani, TOTAL, Anul 2005, Numar persoane, 6464
Masculin, 45-49 ani, TOTAL, Anul 2006, Numar persoane, 5831
Masculin, 45-49 ani, TOTAL, Anul 2007, Numar persoane, 5395
Masculin, 45-49 ani, TOTAL, Anul 2008, Numar persoane, 5141
Masculin, 45-49 ani, TOTAL, Anul 2009, Numar persoane, 4926
Masculin, 45-49 ani, TOTAL, Anul 2010, Numar persoane, 4435
Masculin, 45-49 ani, TOTAL, Anul 2011, Numar persoane, 3844
Masculin, 45-49 ani, TOTAL, Anul 2012, Numar persoane, 3717
Masculin, 45-49 ani, Covasna, Anul 1999, Numar persoane, 79
Masculin, 45-49 ani, Covasna, Anul 2000, Numar persoane, 66
Masculin, 45-49 ani, Covasna, Anul 2001, Numar persoane, 78
Masculin, 45-49 ani, Covasna, Anul 2002, Numar persoane, 73
Masculin, 45-49 ani, Covasna, Anul 2003, Numar persoane, 91
Masculin, 45-49 ani, Covasna, Anul 2004, Numar persoane, 65
Masculin, 45-49 ani, Covasna, Anul 2005, Numar persoane, 79
Masculin, 45-49 ani, Covasna, Anul 2006, Numar persoane, 45
Masculin, 45-49 ani, Covasna, Anul 2007, Numar persoane, 50
Masculin, 45-49 ani, Covasna, Anul 2008, Numar persoane, 42
Masculin, 45-49 ani, Covasna, Anul 2009, Numar persoane, 51
Masculin, 45-49 ani, Covasna, Anul 2010, Numar persoane, 41
Masculin, 45-49 ani, Covasna, Anul 2011, Numar persoane, 31
Masculin, 45-49 ani, Covasna, Anul 2012, Numar persoane, 49
Masculin, 45-49 ani, Harghita, Anul 1999, Numar persoane, 107
Masculin, 45-49 ani, Harghita, Anul 2000, Numar persoane, 107
Masculin, 45-49 ani, Harghita, Anul 2001, Numar persoane, 111
Masculin, 45-49 ani, Harghita, Anul 2002, Numar persoane, 127
Masculin, 45-49 ani, Harghita, Anul 2003, Numar persoane, 135
Masculin, 45-49 ani, Harghita, Anul 2004, Numar persoane, 110
Masculin, 45-49 ani, Harghita, Anul 2005, Numar persoane, 84
Masculin, 45-49 ani, Harghita, Anul 2006, Numar persoane, 95
Masculin, 45-49 ani, Harghita, Anul 2007, Numar persoane, 74
Masculin, 45-49 ani, Harghita, Anul 2008, Numar persoane, 67
Masculin, 45-49 ani, Harghita, Anul 2009, Numar persoane, 75
Masculin, 45-49 ani, Harghita, Anul 2010, Numar persoane, 63
Masculin, 45-49 ani, Harghita, Anul 2011, Numar persoane, 55
Masculin, 45-49 ani, Harghita, Anul 2012, Numar persoane, 56
Masculin, 45-49 ani, Mures, Anul 1999, Numar persoane, 198
Masculin, 45-49 ani, Mures, Anul 2000, Numar persoane, 205
Masculin, 45-49 ani, Mures, Anul 2001, Numar persoane, 208
Masculin, 45-49 ani, Mures, Anul 2002, Numar persoane, 210
Masculin, 45-49 ani, Mures, Anul 2003, Numar persoane, 214
Masculin, 45-49 ani, Mures, Anul 2004, Numar persoane, 182
Masculin, 45-49 ani, Mures, Anul 2005, Numar persoane, 196
Masculin, 45-49 ani, Mures, Anul 2006, Numar persoane, 175
Masculin, 45-49 ani, Mures, Anul 2007, Numar persoane, 148
Masculin, 45-49 ani, Mures, Anul 2008, Numar persoane, 143
Masculin, 45-49 ani, Mures, Anul 2009, Numar persoane, 125
Masculin, 45-49 ani, Mures, Anul 2010, Numar persoane, 115
Masculin, 45-49 ani, Mures, Anul 2011, Numar persoane, 103
Masculin, 45-49 ani, Mures, Anul 2012, Numar persoane, 99
Masculin, 50-54 ani, TOTAL, Anul 1999, Numar persoane, 7735
Masculin, 50-54 ani, TOTAL, Anul 2000, Numar persoane, 7982
Masculin, 50-54 ani, TOTAL, Anul 2001, Numar persoane, 8840
Masculin, 50-54 ani, TOTAL, Anul 2002, Numar persoane, 9426
Masculin, 50-54 ani, TOTAL, Anul 2003, Numar persoane, 9447
Masculin, 50-54 ani, TOTAL, Anul 2004, Numar persoane, 9424
Masculin, 50-54 ani, TOTAL, Anul 2005, Numar persoane, 9131
Masculin, 50-54 ani, TOTAL, Anul 2006, Numar persoane, 9179
Masculin, 50-54 ani, TOTAL, Anul 2007, Numar persoane, 9163
Masculin, 50-54 ani, TOTAL, Anul 2008, Numar persoane, 9614
Masculin, 50-54 ani, TOTAL, Anul 2009, Numar persoane, 9355
Masculin, 50-54 ani, TOTAL, Anul 2010, Numar persoane, 8897
Masculin, 50-54 ani, TOTAL, Anul 2011, Numar persoane, 7604
Masculin, 50-54 ani, TOTAL, Anul 2012, Numar persoane, 7090
Masculin, 50-54 ani, Covasna, Anul 1999, Numar persoane, 74
Masculin, 50-54 ani, Covasna, Anul 2000, Numar persoane, 81
Masculin, 50-54 ani, Covasna, Anul 2001, Numar persoane, 68
Masculin, 50-54 ani, Covasna, Anul 2002, Numar persoane, 107
Masculin, 50-54 ani, Covasna, Anul 2003, Numar persoane, 104
Masculin, 50-54 ani, Covasna, Anul 2004, Numar persoane, 80
Masculin, 50-54 ani, Covasna, Anul 2005, Numar persoane, 86
Masculin, 50-54 ani, Covasna, Anul 2006, Numar persoane, 85
Masculin, 50-54 ani, Covasna, Anul 2007, Numar persoane, 100
Masculin, 50-54 ani, Covasna, Anul 2008, Numar persoane, 92
Masculin, 50-54 ani, Covasna, Anul 2009, Numar persoane, 74
Masculin, 50-54 ani, Covasna, Anul 2010, Numar persoane, 94
Masculin, 50-54 ani, Covasna, Anul 2011, Numar persoane, 78
Masculin, 50-54 ani, Covasna, Anul 2012, Numar persoane, 70
Masculin, 50-54 ani, Harghita, Anul 1999, Numar persoane, 130
Masculin, 50-54 ani, Harghita, Anul 2000, Numar persoane, 103
Masculin, 50-54 ani, Harghita, Anul 2001, Numar persoane, 121
Masculin, 50-54 ani, Harghita, Anul 2002, Numar persoane, 142
Masculin, 50-54 ani, Harghita, Anul 2003, Numar persoane, 164
Masculin, 50-54 ani, Harghita, Anul 2004, Numar persoane, 147
Masculin, 50-54 ani, Harghita, Anul 2005, Numar persoane, 138
Masculin, 50-54 ani, Harghita, Anul 2006, Numar persoane, 137
Masculin, 50-54 ani, Harghita, Anul 2007, Numar persoane, 115
Masculin, 50-54 ani, Harghita, Anul 2008, Numar persoane, 138
Masculin, 50-54 ani, Harghita, Anul 2009, Numar persoane, 143
Masculin, 50-54 ani, Harghita, Anul 2010, Numar persoane, 118
Masculin, 50-54 ani, Harghita, Anul 2011, Numar persoane, 92
Masculin, 50-54 ani, Harghita, Anul 2012, Numar persoane, 91
Masculin, 50-54 ani, Mures, Anul 1999, Numar persoane, 219
Masculin, 50-54 ani, Mures, Anul 2000, Numar persoane, 225
Masculin, 50-54 ani, Mures, Anul 2001, Numar persoane, 230
Masculin, 50-54 ani, Mures, Anul 2002, Numar persoane, 289
Masculin, 50-54 ani, Mures, Anul 2003, Numar persoane, 252
Masculin, 50-54 ani, Mures, Anul 2004, Numar persoane, 241
Masculin, 50-54 ani, Mures, Anul 2005, Numar persoane, 267
Masculin, 50-54 ani, Mures, Anul 2006, Numar persoane, 262
Masculin, 50-54 ani, Mures, Anul 2007, Numar persoane, 235
Masculin, 50-54 ani, Mures, Anul 2008, Numar persoane, 234
Masculin, 50-54 ani, Mures, Anul 2009, Numar persoane, 270
Masculin, 50-54 ani, Mures, Anul 2010, Numar persoane, 232
Masculin, 50-54 ani, Mures, Anul 2011, Numar persoane, 199
Masculin, 50-54 ani, Mures, Anul 2012, Numar persoane, 179
Masculin, 55- 59 ani, TOTAL, Anul 1999, Numar persoane, 10029
Masculin, 55- 59 ani, TOTAL, Anul 2000, Numar persoane, 9334
Masculin, 55- 59 ani, TOTAL, Anul 2001, Numar persoane, 9565
Masculin, 55- 59 ani, TOTAL, Anul 2002, Numar persoane, 9522
Masculin, 55- 59 ani, TOTAL, Anul 2003, Numar persoane, 9793
Masculin, 55- 59 ani, TOTAL, Anul 2004, Numar persoane, 9806
Masculin, 55- 59 ani, TOTAL, Anul 2005, Numar persoane, 10375
Masculin, 55- 59 ani, TOTAL, Anul 2006, Numar persoane, 10776
Masculin, 55- 59 ani, TOTAL, Anul 2007, Numar persoane, 10971
Masculin, 55- 59 ani, TOTAL, Anul 2008, Numar persoane, 11895
Masculin, 55- 59 ani, TOTAL, Anul 2009, Numar persoane, 12065
Masculin, 55- 59 ani, TOTAL, Anul 2010, Numar persoane, 12070
Masculin, 55- 59 ani, TOTAL, Anul 2011, Numar persoane, 11256
Masculin, 55- 59 ani, TOTAL, Anul 2012, Numar persoane, 11543
Masculin, 55- 59 ani, Covasna, Anul 1999, Numar persoane, 108
Masculin, 55- 59 ani, Covasna, Anul 2000, Numar persoane, 115
Masculin, 55- 59 ani, Covasna, Anul 2001, Numar persoane, 103
Masculin, 55- 59 ani, Covasna, Anul 2002, Numar persoane, 96
Masculin, 55- 59 ani, Covasna, Anul 2003, Numar persoane, 102
Masculin, 55- 59 ani, Covasna, Anul 2004, Numar persoane, 98
Masculin, 55- 59 ani, Covasna, Anul 2005, Numar persoane, 85
Masculin, 55- 59 ani, Covasna, Anul 2006, Numar persoane, 118
Masculin, 55- 59 ani, Covasna, Anul 2007, Numar persoane, 101
Masculin, 55- 59 ani, Covasna, Anul 2008, Numar persoane, 123
Masculin, 55- 59 ani, Covasna, Anul 2009, Numar persoane, 134
Masculin, 55- 59 ani, Covasna, Anul 2010, Numar persoane, 135
Masculin, 55- 59 ani, Covasna, Anul 2011, Numar persoane, 117
Masculin, 55- 59 ani, Covasna, Anul 2012, Numar persoane, 108
Masculin, 55- 59 ani, Harghita, Anul 1999, Numar persoane, 202
Masculin, 55- 59 ani, Harghita, Anul 2000, Numar persoane, 133
Masculin, 55- 59 ani, Harghita, Anul 2001, Numar persoane, 169
Masculin, 55- 59 ani, Harghita, Anul 2002, Numar persoane, 169
Masculin, 55- 59 ani, Harghita, Anul 2003, Numar persoane, 136
Masculin, 55- 59 ani, Harghita, Anul 2004, Numar persoane, 152
Masculin, 55- 59 ani, Harghita, Anul 2005, Numar persoane, 160
Masculin, 55- 59 ani, Harghita, Anul 2006, Numar persoane, 171
Masculin, 55- 59 ani, Harghita, Anul 2007, Numar persoane, 156
Masculin, 55- 59 ani, Harghita, Anul 2008, Numar persoane, 170
Masculin, 55- 59 ani, Harghita, Anul 2009, Numar persoane, 161
Masculin, 55- 59 ani, Harghita, Anul 2010, Numar persoane, 180
Masculin, 55- 59 ani, Harghita, Anul 2011, Numar persoane, 185
Masculin, 55- 59 ani, Harghita, Anul 2012, Numar persoane, 161
Masculin, 55- 59 ani, Mures, Anul 1999, Numar persoane, 274
Masculin, 55- 59 ani, Mures, Anul 2000, Numar persoane, 261
Masculin, 55- 59 ani, Mures, Anul 2001, Numar persoane, 319
Masculin, 55- 59 ani, Mures, Anul 2002, Numar persoane, 307
Masculin, 55- 59 ani, Mures, Anul 2003, Numar persoane, 257
Masculin, 55- 59 ani, Mures, Anul 2004, Numar persoane, 273
Masculin, 55- 59 ani, Mures, Anul 2005, Numar persoane, 295
Masculin, 55- 59 ani, Mures, Anul 2006, Numar persoane, 327
Masculin, 55- 59 ani, Mures, Anul 2007, Numar persoane, 285
Masculin, 55- 59 ani, Mures, Anul 2008, Numar persoane, 308
Masculin, 55- 59 ani, Mures, Anul 2009, Numar persoane, 325
Masculin, 55- 59 ani, Mures, Anul 2010, Numar persoane, 344
Masculin, 55- 59 ani, Mures, Anul 2011, Numar persoane, 311
Masculin, 55- 59 ani, Mures, Anul 2012, Numar persoane, 305
Masculin, 60-64 ani, TOTAL, Anul 1999, Numar persoane, 15523
Masculin, 60-64 ani, TOTAL, Anul 2000, Numar persoane, 14977
Masculin, 60-64 ani, TOTAL, Anul 2001, Numar persoane, 14816
Masculin, 60-64 ani, TOTAL, Anul 2002, Numar persoane, 14407
Masculin, 60-64 ani, TOTAL, Anul 2003, Numar persoane, 13454
Masculin, 60-64 ani, TOTAL, Anul 2004, Numar persoane, 12004
Masculin, 60-64 ani, TOTAL, Anul 2005, Numar persoane, 11405
Masculin, 60-64 ani, TOTAL, Anul 2006, Numar persoane, 11113
Masculin, 60-64 ani, TOTAL, Anul 2007, Numar persoane, 11030
Masculin, 60-64 ani, TOTAL, Anul 2008, Numar persoane, 11131
Masculin, 60-64 ani, TOTAL, Anul 2009, Numar persoane, 12208
Masculin, 60-64 ani, TOTAL, Anul 2010, Numar persoane, 12858
Masculin, 60-64 ani, TOTAL, Anul 2011, Numar persoane, 13061
Masculin, 60-64 ani, TOTAL, Anul 2012, Numar persoane, 13449
Masculin, 60-64 ani, Covasna, Anul 1999, Numar persoane, 127
Masculin, 60-64 ani, Covasna, Anul 2000, Numar persoane, 110
Masculin, 60-64 ani, Covasna, Anul 2001, Numar persoane, 118
Masculin, 60-64 ani, Covasna, Anul 2002, Numar persoane, 145
Masculin, 60-64 ani, Covasna, Anul 2003, Numar persoane, 123
Masculin, 60-64 ani, Covasna, Anul 2004, Numar persoane, 120
Masculin, 60-64 ani, Covasna, Anul 2005, Numar persoane, 115
Masculin, 60-64 ani, Covasna, Anul 2006, Numar persoane, 122
Masculin, 60-64 ani, Covasna, Anul 2007, Numar persoane, 131
Masculin, 60-64 ani, Covasna, Anul 2008, Numar persoane, 125
Masculin, 60-64 ani, Covasna, Anul 2009, Numar persoane, 114
Masculin, 60-64 ani, Covasna, Anul 2010, Numar persoane, 129
Masculin, 60-64 ani, Covasna, Anul 2011, Numar persoane, 115
Masculin, 60-64 ani, Covasna, Anul 2012, Numar persoane, 127
Masculin, 60-64 ani, Harghita, Anul 1999, Numar persoane, 219
Masculin, 60-64 ani, Harghita, Anul 2000, Numar persoane, 218
Masculin, 60-64 ani, Harghita, Anul 2001, Numar persoane, 170
Masculin, 60-64 ani, Harghita, Anul 2002, Numar persoane, 217
Masculin, 60-64 ani, Harghita, Anul 2003, Numar persoane, 178
Masculin, 60-64 ani, Harghita, Anul 2004, Numar persoane, 205
Masculin, 60-64 ani, Harghita, Anul 2005, Numar persoane, 185
Masculin, 60-64 ani, Harghita, Anul 2006, Numar persoane, 213
Masculin, 60-64 ani, Harghita, Anul 2007, Numar persoane, 186
Masculin, 60-64 ani, Harghita, Anul 2008, Numar persoane, 164
Masculin, 60-64 ani, Harghita, Anul 2009, Numar persoane, 182
Masculin, 60-64 ani, Harghita, Anul 2010, Numar persoane, 185
Masculin, 60-64 ani, Harghita, Anul 2011, Numar persoane, 186
Masculin, 60-64 ani, Harghita, Anul 2012, Numar persoane, 189
Masculin, 60-64 ani, Mures, Anul 1999, Numar persoane, 411
Masculin, 60-64 ani, Mures, Anul 2000, Numar persoane, 365
Masculin, 60-64 ani, Mures, Anul 2001, Numar persoane, 399
Masculin, 60-64 ani, Mures, Anul 2002, Numar persoane, 381
Masculin, 60-64 ani, Mures, Anul 2003, Numar persoane, 362
Masculin, 60-64 ani, Mures, Anul 2004, Numar persoane, 330
Masculin, 60-64 ani, Mures, Anul 2005, Numar persoane, 340
Masculin, 60-64 ani, Mures, Anul 2006, Numar persoane, 342
Masculin, 60-64 ani, Mures, Anul 2007, Numar persoane, 310
Masculin, 60-64 ani, Mures, Anul 2008, Numar persoane, 312
Masculin, 60-64 ani, Mures, Anul 2009, Numar persoane, 314
Masculin, 60-64 ani, Mures, Anul 2010, Numar persoane, 348
Masculin, 60-64 ani, Mures, Anul 2011, Numar persoane, 352
Masculin, 60-64 ani, Mures, Anul 2012, Numar persoane, 340
Masculin, 65-69 ani, TOTAL, Anul 1999, Numar persoane, 19026
Masculin, 65-69 ani, TOTAL, Anul 2000, Numar persoane, 18064
Masculin, 65-69 ani, TOTAL, Anul 2001, Numar persoane, 18460
Masculin, 65-69 ani, TOTAL, Anul 2002, Numar persoane, 19094
Masculin, 65-69 ani, TOTAL, Anul 2003, Numar persoane, 18795
Masculin, 65-69 ani, TOTAL, Anul 2004, Numar persoane, 18167
Masculin, 65-69 ani, TOTAL, Anul 2005, Numar persoane, 17785
Masculin, 65-69 ani, TOTAL, Anul 2006, Numar persoane, 16518
Masculin, 65-69 ani, TOTAL, Anul 2007, Numar persoane, 15475
Masculin, 65-69 ani, TOTAL, Anul 2008, Numar persoane, 14539
Masculin, 65-69 ani, TOTAL, Anul 2009, Numar persoane, 14207
Masculin, 65-69 ani, TOTAL, Anul 2010, Numar persoane, 13373
Masculin, 65-69 ani, TOTAL, Anul 2011, Numar persoane, 12463
Masculin, 65-69 ani, TOTAL, Anul 2012, Numar persoane, 12736
Masculin, 65-69 ani, Covasna, Anul 1999, Numar persoane, 150
Masculin, 65-69 ani, Covasna, Anul 2000, Numar persoane, 154
Masculin, 65-69 ani, Covasna, Anul 2001, Numar persoane, 164
Masculin, 65-69 ani, Covasna, Anul 2002, Numar persoane, 154
Masculin, 65-69 ani, Covasna, Anul 2003, Numar persoane, 162
Masculin, 65-69 ani, Covasna, Anul 2004, Numar persoane, 161
Masculin, 65-69 ani, Covasna, Anul 2005, Numar persoane, 148
Masculin, 65-69 ani, Covasna, Anul 2006, Numar persoane, 172
Masculin, 65-69 ani, Covasna, Anul 2007, Numar persoane, 152
Masculin, 65-69 ani, Covasna, Anul 2008, Numar persoane, 169
Masculin, 65-69 ani, Covasna, Anul 2009, Numar persoane, 159
Masculin, 65-69 ani, Covasna, Anul 2010, Numar persoane, 163
Masculin, 65-69 ani, Covasna, Anul 2011, Numar persoane, 158
Masculin, 65-69 ani, Covasna, Anul 2012, Numar persoane, 137
Masculin, 65-69 ani, Harghita, Anul 1999, Numar persoane, 233
Masculin, 65-69 ani, Harghita, Anul 2000, Numar persoane, 243
Masculin, 65-69 ani, Harghita, Anul 2001, Numar persoane, 242
Masculin, 65-69 ani, Harghita, Anul 2002, Numar persoane, 259
Masculin, 65-69 ani, Harghita, Anul 2003, Numar persoane, 239
Masculin, 65-69 ani, Harghita, Anul 2004, Numar persoane, 240
Masculin, 65-69 ani, Harghita, Anul 2005, Numar persoane, 238
Masculin, 65-69 ani, Harghita, Anul 2006, Numar persoane, 211
Masculin, 65-69 ani, Harghita, Anul 2007, Numar persoane, 233
Masculin, 65-69 ani, Harghita, Anul 2008, Numar persoane, 256
Masculin, 65-69 ani, Harghita, Anul 2009, Numar persoane, 221
Masculin, 65-69 ani, Harghita, Anul 2010, Numar persoane, 229
Masculin, 65-69 ani, Harghita, Anul 2011, Numar persoane, 236
Masculin, 65-69 ani, Harghita, Anul 2012, Numar persoane, 179
Masculin, 65-69 ani, Mures, Anul 1999, Numar persoane, 568
Masculin, 65-69 ani, Mures, Anul 2000, Numar persoane, 502
Masculin, 65-69 ani, Mures, Anul 2001, Numar persoane, 500
Masculin, 65-69 ani, Mures, Anul 2002, Numar persoane, 520
Masculin, 65-69 ani, Mures, Anul 2003, Numar persoane, 469
Masculin, 65-69 ani, Mures, Anul 2004, Numar persoane, 477
Masculin, 65-69 ani, Mures, Anul 2005, Numar persoane, 458
Masculin, 65-69 ani, Mures, Anul 2006, Numar persoane, 439
Masculin, 65-69 ani, Mures, Anul 2007, Numar persoane, 398
Masculin, 65-69 ani, Mures, Anul 2008, Numar persoane, 383
Masculin, 65-69 ani, Mures, Anul 2009, Numar persoane, 410
Masculin, 65-69 ani, Mures, Anul 2010, Numar persoane, 391
Masculin, 65-69 ani, Mures, Anul 2011, Numar persoane, 361
Masculin, 65-69 ani, Mures, Anul 2012, Numar persoane, 344
Masculin, 70-74 ani, TOTAL, Anul 1999, Numar persoane, 21566
Masculin, 70-74 ani, TOTAL, Anul 2000, Numar persoane, 20782
Masculin, 70-74 ani, TOTAL, Anul 2001, Numar persoane, 21023
Masculin, 70-74 ani, TOTAL, Anul 2002, Numar persoane, 22042
Masculin, 70-74 ani, TOTAL, Anul 2003, Numar persoane, 21659
Masculin, 70-74 ani, TOTAL, Anul 2004, Numar persoane, 20692
Masculin, 70-74 ani, TOTAL, Anul 2005, Numar persoane, 20691
Masculin, 70-74 ani, TOTAL, Anul 2006, Numar persoane, 19875
Masculin, 70-74 ani, TOTAL, Anul 2007, Numar persoane, 19387
Masculin, 70-74 ani, TOTAL, Anul 2008, Numar persoane, 19795
Masculin, 70-74 ani, TOTAL, Anul 2009, Numar persoane, 19580
Masculin, 70-74 ani, TOTAL, Anul 2010, Numar persoane, 19396
Masculin, 70-74 ani, TOTAL, Anul 2011, Numar persoane, 17909
Masculin, 70-74 ani, TOTAL, Anul 2012, Numar persoane, 17314
Masculin, 70-74 ani, Covasna, Anul 1999, Numar persoane, 165
Masculin, 70-74 ani, Covasna, Anul 2000, Numar persoane, 178
Masculin, 70-74 ani, Covasna, Anul 2001, Numar persoane, 172
Masculin, 70-74 ani, Covasna, Anul 2002, Numar persoane, 207
Masculin, 70-74 ani, Covasna, Anul 2003, Numar persoane, 193
Masculin, 70-74 ani, Covasna, Anul 2004, Numar persoane, 180
Masculin, 70-74 ani, Covasna, Anul 2005, Numar persoane, 183
Masculin, 70-74 ani, Covasna, Anul 2006, Numar persoane, 193
Masculin, 70-74 ani, Covasna, Anul 2007, Numar persoane, 164
Masculin, 70-74 ani, Covasna, Anul 2008, Numar persoane, 182
Masculin, 70-74 ani, Covasna, Anul 2009, Numar persoane, 195
Masculin, 70-74 ani, Covasna, Anul 2010, Numar persoane, 171
Masculin, 70-74 ani, Covasna, Anul 2011, Numar persoane, 173
Masculin, 70-74 ani, Covasna, Anul 2012, Numar persoane, 177
Masculin, 70-74 ani, Harghita, Anul 1999, Numar persoane, 307
Masculin, 70-74 ani, Harghita, Anul 2000, Numar persoane, 279
Masculin, 70-74 ani, Harghita, Anul 2001, Numar persoane, 323
Masculin, 70-74 ani, Harghita, Anul 2002, Numar persoane, 297
Masculin, 70-74 ani, Harghita, Anul 2003, Numar persoane, 349
Masculin, 70-74 ani, Harghita, Anul 2004, Numar persoane, 303
Masculin, 70-74 ani, Harghita, Anul 2005, Numar persoane, 267
Masculin, 70-74 ani, Harghita, Anul 2006, Numar persoane, 286
Masculin, 70-74 ani, Harghita, Anul 2007, Numar persoane, 255
Masculin, 70-74 ani, Harghita, Anul 2008, Numar persoane, 263
Masculin, 70-74 ani, Harghita, Anul 2009, Numar persoane, 273
Masculin, 70-74 ani, Harghita, Anul 2010, Numar persoane, 230
Masculin, 70-74 ani, Harghita, Anul 2011, Numar persoane, 239
Masculin, 70-74 ani, Harghita, Anul 2012, Numar persoane, 267
Masculin, 70-74 ani, Mures, Anul 1999, Numar persoane, 619
Masculin, 70-74 ani, Mures, Anul 2000, Numar persoane, 578
Masculin, 70-74 ani, Mures, Anul 2001, Numar persoane, 573
Masculin, 70-74 ani, Mures, Anul 2002, Numar persoane, 640
Masculin, 70-74 ani, Mures, Anul 2003, Numar persoane, 613
Masculin, 70-74 ani, Mures, Anul 2004, Numar persoane, 567
Masculin, 70-74 ani, Mures, Anul 2005, Numar persoane, 626
Masculin, 70-74 ani, Mures, Anul 2006, Numar persoane, 531
Masculin, 70-74 ani, Mures, Anul 2007, Numar persoane, 490
Masculin, 70-74 ani, Mures, Anul 2008, Numar persoane, 465
Masculin, 70-74 ani, Mures, Anul 2009, Numar persoane, 505
Masculin, 70-74 ani, Mures, Anul 2010, Numar persoane, 477
Masculin, 70-74 ani, Mures, Anul 2011, Numar persoane, 469
Masculin, 70-74 ani, Mures, Anul 2012, Numar persoane, 436
Masculin, 75-79 ani, TOTAL, Anul 1999, Numar persoane, 18973
Masculin, 75-79 ani, TOTAL, Anul 2000, Numar persoane, 19294
Masculin, 75-79 ani, TOTAL, Anul 2001, Numar persoane, 20529
Masculin, 75-79 ani, TOTAL, Anul 2002, Numar persoane, 21905
Masculin, 75-79 ani, TOTAL, Anul 2003, Numar persoane, 21977
Masculin, 75-79 ani, TOTAL, Anul 2004, Numar persoane, 21552
Masculin, 75-79 ani, TOTAL, Anul 2005, Numar persoane, 21680
Masculin, 75-79 ani, TOTAL, Anul 2006, Numar persoane, 21657
Masculin, 75-79 ani, TOTAL, Anul 2007, Numar persoane, 20839
Masculin, 75-79 ani, TOTAL, Anul 2008, Numar persoane, 20844
Masculin, 75-79 ani, TOTAL, Anul 2009, Numar persoane, 21017
Masculin, 75-79 ani, TOTAL, Anul 2010, Numar persoane, 20972
Masculin, 75-79 ani, TOTAL, Anul 2011, Numar persoane, 20519
Masculin, 75-79 ani, TOTAL, Anul 2012, Numar persoane, 20747
Masculin, 75-79 ani, Covasna, Anul 1999, Numar persoane, 184
Masculin, 75-79 ani, Covasna, Anul 2000, Numar persoane, 184
Masculin, 75-79 ani, Covasna, Anul 2001, Numar persoane, 185
Masculin, 75-79 ani, Covasna, Anul 2002, Numar persoane, 177
Masculin, 75-79 ani, Covasna, Anul 2003, Numar persoane, 188
Masculin, 75-79 ani, Covasna, Anul 2004, Numar persoane, 209
Masculin, 75-79 ani, Covasna, Anul 2005, Numar persoane, 177
Masculin, 75-79 ani, Covasna, Anul 2006, Numar persoane, 216
Masculin, 75-79 ani, Covasna, Anul 2007, Numar persoane, 173
Masculin, 75-79 ani, Covasna, Anul 2008, Numar persoane, 205
Masculin, 75-79 ani, Covasna, Anul 2009, Numar persoane, 226
Masculin, 75-79 ani, Covasna, Anul 2010, Numar persoane, 197
Masculin, 75-79 ani, Covasna, Anul 2011, Numar persoane, 184
Masculin, 75-79 ani, Covasna, Anul 2012, Numar persoane, 203
Masculin, 75-79 ani, Harghita, Anul 1999, Numar persoane, 290
Masculin, 75-79 ani, Harghita, Anul 2000, Numar persoane, 301
Masculin, 75-79 ani, Harghita, Anul 2001, Numar persoane, 295
Masculin, 75-79 ani, Harghita, Anul 2002, Numar persoane, 329
Masculin, 75-79 ani, Harghita, Anul 2003, Numar persoane, 314
