
Sexe, Grupe de varsta , Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Masculin, 25-29 ani, Regiunea NORD-EST, Anul 2001, Numar persoane, 215
Masculin, 25-29 ani, Regiunea NORD-EST, Anul 2002, Numar persoane, 234
Masculin, 25-29 ani, Regiunea NORD-EST, Anul 2003, Numar persoane, 224
Masculin, 25-29 ani, Regiunea NORD-EST, Anul 2004, Numar persoane, 209
Masculin, 25-29 ani, Regiunea NORD-EST, Anul 2005, Numar persoane, 193
Masculin, 25-29 ani, Regiunea NORD-EST, Anul 2006, Numar persoane, 198
Masculin, 25-29 ani, Regiunea NORD-EST, Anul 2007, Numar persoane, 169
Masculin, 25-29 ani, Regiunea NORD-EST, Anul 2008, Numar persoane, 179
Masculin, 25-29 ani, Regiunea NORD-EST, Anul 2009, Numar persoane, 186
Masculin, 25-29 ani, Regiunea NORD-EST, Anul 2010, Numar persoane, 179
Masculin, 25-29 ani, Regiunea NORD-EST, Anul 2011, Numar persoane, 124
Masculin, 25-29 ani, Regiunea NORD-EST, Anul 2012, Numar persoane, 133
Masculin, 25-29 ani, Regiunea NORD-EST, Anul 2013, Numar persoane, 155
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 1990, Numar persoane, 173
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 1991, Numar persoane, 150
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 1992, Numar persoane, 158
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 1993, Numar persoane, 173
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 1994, Numar persoane, 188
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 1995, Numar persoane, 215
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 1996, Numar persoane, 236
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 1997, Numar persoane, 229
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 1998, Numar persoane, 201
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 1999, Numar persoane, 185
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 2000, Numar persoane, 194
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 2001, Numar persoane, 180
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 2002, Numar persoane, 170
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 2003, Numar persoane, 163
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 2004, Numar persoane, 157
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 2005, Numar persoane, 122
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 2006, Numar persoane, 146
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 2007, Numar persoane, 142
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 2008, Numar persoane, 124
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 2009, Numar persoane, 115
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 2010, Numar persoane, 113
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 2011, Numar persoane, 102
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 2012, Numar persoane, 104
Masculin, 25-29 ani, Regiunea SUD-EST, Anul 2013, Numar persoane, 107
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 1990, Numar persoane, 200
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 1991, Numar persoane, 168
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 163
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 198
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 224
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 238
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 256
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 250
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 193
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 213
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 178
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 186
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 168
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 186
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 160
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 159
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 137
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 134
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 142
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 129
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 117
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 115
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 88
Masculin, 25-29 ani, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 100
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 1990, Numar persoane, 87
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 1991, Numar persoane, 74
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 1992, Numar persoane, 77
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 1993, Numar persoane, 101
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 1994, Numar persoane, 102
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 1995, Numar persoane, 115
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 1996, Numar persoane, 132
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 1997, Numar persoane, 139
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 1998, Numar persoane, 120
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 1999, Numar persoane, 87
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 2000, Numar persoane, 78
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 2001, Numar persoane, 96
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 2002, Numar persoane, 79
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 2003, Numar persoane, 84
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 2004, Numar persoane, 71
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 2005, Numar persoane, 81
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 2006, Numar persoane, 87
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 2007, Numar persoane, 91
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 2008, Numar persoane, 81
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 2009, Numar persoane, 84
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 2010, Numar persoane, 80
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 2011, Numar persoane, 73
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 2012, Numar persoane, 78
Masculin, 25-29 ani, Regiunea BUCURESTI - ILFOV, Anul 2013, Numar persoane, 81
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 1990, Numar persoane, 137
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 1991, Numar persoane, 131
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 1992, Numar persoane, 143
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 1993, Numar persoane, 147
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 1994, Numar persoane, 177
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar persoane, 163
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar persoane, 169
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar persoane, 188
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar persoane, 159
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar persoane, 144
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar persoane, 125
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar persoane, 135
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar persoane, 139
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar persoane, 123
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar persoane, 105
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar persoane, 100
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar persoane, 126
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar persoane, 99
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar persoane, 80
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar persoane, 84
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar persoane, 80
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar persoane, 60
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar persoane, 71
Masculin, 25-29 ani, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar persoane, 72
Masculin, 25-29 ani, Regiunea VEST, Anul 1990, Numar persoane, 117
Masculin, 25-29 ani, Regiunea VEST, Anul 1991, Numar persoane, 91
Masculin, 25-29 ani, Regiunea VEST, Anul 1992, Numar persoane, 112
Masculin, 25-29 ani, Regiunea VEST, Anul 1993, Numar persoane, 119
Masculin, 25-29 ani, Regiunea VEST, Anul 1994, Numar persoane, 116
Masculin, 25-29 ani, Regiunea VEST, Anul 1995, Numar persoane, 156
Masculin, 25-29 ani, Regiunea VEST, Anul 1996, Numar persoane, 140
Masculin, 25-29 ani, Regiunea VEST, Anul 1997, Numar persoane, 154
Masculin, 25-29 ani, Regiunea VEST, Anul 1998, Numar persoane, 140
Masculin, 25-29 ani, Regiunea VEST, Anul 1999, Numar persoane, 115
Masculin, 25-29 ani, Regiunea VEST, Anul 2000, Numar persoane, 83
Masculin, 25-29 ani, Regiunea VEST, Anul 2001, Numar persoane, 103
Masculin, 25-29 ani, Regiunea VEST, Anul 2002, Numar persoane, 92
Masculin, 25-29 ani, Regiunea VEST, Anul 2003, Numar persoane, 98
Masculin, 25-29 ani, Regiunea VEST, Anul 2004, Numar persoane, 90
Masculin, 25-29 ani, Regiunea VEST, Anul 2005, Numar persoane, 89
Masculin, 25-29 ani, Regiunea VEST, Anul 2006, Numar persoane, 91
Masculin, 25-29 ani, Regiunea VEST, Anul 2007, Numar persoane, 70
Masculin, 25-29 ani, Regiunea VEST, Anul 2008, Numar persoane, 65
Masculin, 25-29 ani, Regiunea VEST, Anul 2009, Numar persoane, 83
Masculin, 25-29 ani, Regiunea VEST, Anul 2010, Numar persoane, 62
Masculin, 25-29 ani, Regiunea VEST, Anul 2011, Numar persoane, 54
Masculin, 25-29 ani, Regiunea VEST, Anul 2012, Numar persoane, 67
Masculin, 25-29 ani, Regiunea VEST, Anul 2013, Numar persoane, 65
Masculin, 30-34 ani, TOTAL, Anul 1990, Numar persoane, 2235
Masculin, 30-34 ani, TOTAL, Anul 1991, Numar persoane, 2124
Masculin, 30-34 ani, TOTAL, Anul 1992, Numar persoane, 1986
Masculin, 30-34 ani, TOTAL, Anul 1993, Numar persoane, 1938
Masculin, 30-34 ani, TOTAL, Anul 1994, Numar persoane, 1845
Masculin, 30-34 ani, TOTAL, Anul 1995, Numar persoane, 1878
Masculin, 30-34 ani, TOTAL, Anul 1996, Numar persoane, 1744
Masculin, 30-34 ani, TOTAL, Anul 1997, Numar persoane, 1811
Masculin, 30-34 ani, TOTAL, Anul 1998, Numar persoane, 1775
Masculin, 30-34 ani, TOTAL, Anul 1999, Numar persoane, 1695
Masculin, 30-34 ani, TOTAL, Anul 2000, Numar persoane, 1798
Masculin, 30-34 ani, TOTAL, Anul 2001, Numar persoane, 1925
Masculin, 30-34 ani, TOTAL, Anul 2002, Numar persoane, 1961
Masculin, 30-34 ani, TOTAL, Anul 2003, Numar persoane, 1726
Masculin, 30-34 ani, TOTAL, Anul 2004, Numar persoane, 1559
Masculin, 30-34 ani, TOTAL, Anul 2005, Numar persoane, 1446
Masculin, 30-34 ani, TOTAL, Anul 2006, Numar persoane, 1311
Masculin, 30-34 ani, TOTAL, Anul 2007, Numar persoane, 1319
Masculin, 30-34 ani, TOTAL, Anul 2008, Numar persoane, 1363
Masculin, 30-34 ani, TOTAL, Anul 2009, Numar persoane, 1365
Masculin, 30-34 ani, TOTAL, Anul 2010, Numar persoane, 1331
Masculin, 30-34 ani, TOTAL, Anul 2011, Numar persoane, 1136
Masculin, 30-34 ani, TOTAL, Anul 2012, Numar persoane, 1036
Masculin, 30-34 ani, TOTAL, Anul 2013, Numar persoane, 955
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 1990, Numar persoane, 291
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 1991, Numar persoane, 302
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 1992, Numar persoane, 293
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 1993, Numar persoane, 281
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 1994, Numar persoane, 280
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 1995, Numar persoane, 239
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 1996, Numar persoane, 278
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 1997, Numar persoane, 245
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 1998, Numar persoane, 246
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 1999, Numar persoane, 218
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 2000, Numar persoane, 240
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 2001, Numar persoane, 268
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 2002, Numar persoane, 236
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 2003, Numar persoane, 204
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 2004, Numar persoane, 209
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 2005, Numar persoane, 180
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 2006, Numar persoane, 167
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 2007, Numar persoane, 180
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 2008, Numar persoane, 168
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 2009, Numar persoane, 167
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 2010, Numar persoane, 153
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 2011, Numar persoane, 121
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 2012, Numar persoane, 142
Masculin, 30-34 ani, Regiunea NORD-VEST, Anul 2013, Numar persoane, 114
Masculin, 30-34 ani, Regiunea CENTRU, Anul 1990, Numar persoane, 254
Masculin, 30-34 ani, Regiunea CENTRU, Anul 1991, Numar persoane, 255
Masculin, 30-34 ani, Regiunea CENTRU, Anul 1992, Numar persoane, 239
Masculin, 30-34 ani, Regiunea CENTRU, Anul 1993, Numar persoane, 242
Masculin, 30-34 ani, Regiunea CENTRU, Anul 1994, Numar persoane, 210
Masculin, 30-34 ani, Regiunea CENTRU, Anul 1995, Numar persoane, 191
Masculin, 30-34 ani, Regiunea CENTRU, Anul 1996, Numar persoane, 184
Masculin, 30-34 ani, Regiunea CENTRU, Anul 1997, Numar persoane, 216
Masculin, 30-34 ani, Regiunea CENTRU, Anul 1998, Numar persoane, 219
Masculin, 30-34 ani, Regiunea CENTRU, Anul 1999, Numar persoane, 180
Masculin, 30-34 ani, Regiunea CENTRU, Anul 2000, Numar persoane, 194
Masculin, 30-34 ani, Regiunea CENTRU, Anul 2001, Numar persoane, 230
Masculin, 30-34 ani, Regiunea CENTRU, Anul 2002, Numar persoane, 215
Masculin, 30-34 ani, Regiunea CENTRU, Anul 2003, Numar persoane, 173
Masculin, 30-34 ani, Regiunea CENTRU, Anul 2004, Numar persoane, 182
Masculin, 30-34 ani, Regiunea CENTRU, Anul 2005, Numar persoane, 171
Masculin, 30-34 ani, Regiunea CENTRU, Anul 2006, Numar persoane, 155
Masculin, 30-34 ani, Regiunea CENTRU, Anul 2007, Numar persoane, 116
Masculin, 30-34 ani, Regiunea CENTRU, Anul 2008, Numar persoane, 177
Masculin, 30-34 ani, Regiunea CENTRU, Anul 2009, Numar persoane, 167
Masculin, 30-34 ani, Regiunea CENTRU, Anul 2010, Numar persoane, 146
Masculin, 30-34 ani, Regiunea CENTRU, Anul 2011, Numar persoane, 154
Masculin, 30-34 ani, Regiunea CENTRU, Anul 2012, Numar persoane, 131
Masculin, 30-34 ani, Regiunea CENTRU, Anul 2013, Numar persoane, 125
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 1990, Numar persoane, 388
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 1991, Numar persoane, 411
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 1992, Numar persoane, 355
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 1993, Numar persoane, 342
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 1994, Numar persoane, 346
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 1995, Numar persoane, 382
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 1996, Numar persoane, 337
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 1997, Numar persoane, 328
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 1998, Numar persoane, 340
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 1999, Numar persoane, 307
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 2000, Numar persoane, 329
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 2001, Numar persoane, 353
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 2002, Numar persoane, 385
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 2003, Numar persoane, 334
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 2004, Numar persoane, 320
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 2005, Numar persoane, 294
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 2006, Numar persoane, 249
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 2007, Numar persoane, 264
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 2008, Numar persoane, 275
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 2009, Numar persoane, 262
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 2010, Numar persoane, 276
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 2011, Numar persoane, 223
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 2012, Numar persoane, 200
Masculin, 30-34 ani, Regiunea NORD-EST, Anul 2013, Numar persoane, 181
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 1990, Numar persoane, 332
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 1991, Numar persoane, 289
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 1992, Numar persoane, 253
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 1993, Numar persoane, 255
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 1994, Numar persoane, 241
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 1995, Numar persoane, 262
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 1996, Numar persoane, 219
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 1997, Numar persoane, 253
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 1998, Numar persoane, 246
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 1999, Numar persoane, 221
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 2000, Numar persoane, 249
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 2001, Numar persoane, 304
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 2002, Numar persoane, 297
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 2003, Numar persoane, 249
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 2004, Numar persoane, 230
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 2005, Numar persoane, 197
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 2006, Numar persoane, 185
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 2007, Numar persoane, 206
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 2008, Numar persoane, 185
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 2009, Numar persoane, 187
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 2010, Numar persoane, 190
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 2011, Numar persoane, 162
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 2012, Numar persoane, 155
Masculin, 30-34 ani, Regiunea SUD-EST, Anul 2013, Numar persoane, 133
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 1990, Numar persoane, 335
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 1991, Numar persoane, 280
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 285
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 264
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 270
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 254
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 263
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 287
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 251
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 277
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 306
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 274
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 333
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 287
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 242
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 226
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 181
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 217
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 206
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 198
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 207
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 160
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 135
Masculin, 30-34 ani, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 144
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 1990, Numar persoane, 189
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 1991, Numar persoane, 181
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 1992, Numar persoane, 170
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 1993, Numar persoane, 168
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 1994, Numar persoane, 148
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 1995, Numar persoane, 160
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 1996, Numar persoane, 119
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 1997, Numar persoane, 145
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 1998, Numar persoane, 149
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 1999, Numar persoane, 159
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 2000, Numar persoane, 138
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 2001, Numar persoane, 149
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 2002, Numar persoane, 139
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 2003, Numar persoane, 137
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 2004, Numar persoane, 98
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 2005, Numar persoane, 117
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 2006, Numar persoane, 108
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 2007, Numar persoane, 112
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 2008, Numar persoane, 123
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 2009, Numar persoane, 135
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 2010, Numar persoane, 117
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 2011, Numar persoane, 111
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 2012, Numar persoane, 111
Masculin, 30-34 ani, Regiunea BUCURESTI - ILFOV, Anul 2013, Numar persoane, 101
Masculin, 30-34 ani, Regiunea SUD-VEST OLTENIA, Anul 1990, Numar persoane, 213
Masculin, 30-34 ani, Regiunea SUD-VEST OLTENIA, Anul 1991, Numar persoane, 203
Masculin, 30-34 ani, Regiunea SUD-VEST OLTENIA, Anul 1992, Numar persoane, 203
Masculin, 30-34 ani, Regiunea SUD-VEST OLTENIA, Anul 1993, Numar persoane, 195
Masculin, 30-34 ani, Regiunea SUD-VEST OLTENIA, Anul 1994, Numar persoane, 173
Masculin, 30-34 ani, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar persoane, 208
Masculin, 30-34 ani, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar persoane, 181
Masculin, 30-34 ani, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar persoane, 175
Masculin, 30-34 ani, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar persoane, 176
Masculin, 30-34 ani, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar persoane, 187
Masculin, 30-34 ani, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar persoane, 194
Masculin, 30-34 ani, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar persoane, 167
Masculin, 30-34 ani, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar persoane, 184
Masculin, 30-34 ani, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar persoane, 187
Masculin, 30-34 ani, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar persoane, 158
