
CAEN Rev.2  (activitati ale economiei nationale), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Feminin, Arad, Anul 2012, Mii persoane, 13.8
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Feminin, Arad, Anul 2013, Mii persoane, 14
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Feminin, Caras-Severin, Anul 2008, Mii persoane, 4.6
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Feminin, Caras-Severin, Anul 2009, Mii persoane, 4.3
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Feminin, Caras-Severin, Anul 2010, Mii persoane, 4.9
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Feminin, Caras-Severin, Anul 2011, Mii persoane, 4.3
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Feminin, Caras-Severin, Anul 2012, Mii persoane, 4.5
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Feminin, Caras-Severin, Anul 2013, Mii persoane, 5.4
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Feminin, Hunedoara, Anul 2008, Mii persoane, 14.1
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Feminin, Hunedoara, Anul 2009, Mii persoane, 15.4
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Feminin, Hunedoara, Anul 2010, Mii persoane, 18.4
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Feminin, Hunedoara, Anul 2011, Mii persoane, 16.1
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Feminin, Hunedoara, Anul 2012, Mii persoane, 16
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Feminin, Hunedoara, Anul 2013, Mii persoane, 16.8
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Feminin, Timis, Anul 2008, Mii persoane, 21.7
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Feminin, Timis, Anul 2009, Mii persoane, 21.8
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Feminin, Timis, Anul 2010, Mii persoane, 18.1
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Feminin, Timis, Anul 2011, Mii persoane, 18.6
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Feminin, Timis, Anul 2012, Mii persoane, 21.6
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Feminin, Timis, Anul 2013, Mii persoane, 21.5
H  TRANSPORT SI DEPOZITARE, Total, TOTAL, Anul 2008, Mii persoane, 422
H  TRANSPORT SI DEPOZITARE, Total, TOTAL, Anul 2009, Mii persoane, 418.9
H  TRANSPORT SI DEPOZITARE, Total, TOTAL, Anul 2010, Mii persoane, 425.8
H  TRANSPORT SI DEPOZITARE, Total, TOTAL, Anul 2011, Mii persoane, 434
H  TRANSPORT SI DEPOZITARE, Total, TOTAL, Anul 2012, Mii persoane, 446.8
H  TRANSPORT SI DEPOZITARE, Total, TOTAL, Anul 2013, Mii persoane, 429.6
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA UNU, Anul 2008, Mii persoane, 110.7
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA UNU, Anul 2009, Mii persoane, 112.2
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA UNU, Anul 2010, Mii persoane, 115.7
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA UNU, Anul 2011, Mii persoane, 117.8
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA UNU, Anul 2012, Mii persoane, 123.4
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA UNU, Anul 2013, Mii persoane, 119.9
H  TRANSPORT SI DEPOZITARE, Total, Regiunea NORD-VEST, Anul 2008, Mii persoane, 56.5
H  TRANSPORT SI DEPOZITARE, Total, Regiunea NORD-VEST, Anul 2009, Mii persoane, 56.6
H  TRANSPORT SI DEPOZITARE, Total, Regiunea NORD-VEST, Anul 2010, Mii persoane, 59.3
H  TRANSPORT SI DEPOZITARE, Total, Regiunea NORD-VEST, Anul 2011, Mii persoane, 60.5
H  TRANSPORT SI DEPOZITARE, Total, Regiunea NORD-VEST, Anul 2012, Mii persoane, 63.2
H  TRANSPORT SI DEPOZITARE, Total, Regiunea NORD-VEST, Anul 2013, Mii persoane, 62.2
H  TRANSPORT SI DEPOZITARE, Total, Bihor, Anul 2008, Mii persoane, 13.1
H  TRANSPORT SI DEPOZITARE, Total, Bihor, Anul 2009, Mii persoane, 13.1
H  TRANSPORT SI DEPOZITARE, Total, Bihor, Anul 2010, Mii persoane, 12.8
H  TRANSPORT SI DEPOZITARE, Total, Bihor, Anul 2011, Mii persoane, 12.7
H  TRANSPORT SI DEPOZITARE, Total, Bihor, Anul 2012, Mii persoane, 13.4
H  TRANSPORT SI DEPOZITARE, Total, Bihor, Anul 2013, Mii persoane, 14
H  TRANSPORT SI DEPOZITARE, Total, Bistrita-Nasaud, Anul 2008, Mii persoane, 5.7
H  TRANSPORT SI DEPOZITARE, Total, Bistrita-Nasaud, Anul 2009, Mii persoane, 5.6
H  TRANSPORT SI DEPOZITARE, Total, Bistrita-Nasaud, Anul 2010, Mii persoane, 6.3
H  TRANSPORT SI DEPOZITARE, Total, Bistrita-Nasaud, Anul 2011, Mii persoane, 6.4
H  TRANSPORT SI DEPOZITARE, Total, Bistrita-Nasaud, Anul 2012, Mii persoane, 6.7
H  TRANSPORT SI DEPOZITARE, Total, Bistrita-Nasaud, Anul 2013, Mii persoane, 6.5
H  TRANSPORT SI DEPOZITARE, Total, Cluj, Anul 2008, Mii persoane, 17.5
H  TRANSPORT SI DEPOZITARE, Total, Cluj, Anul 2009, Mii persoane, 17.8
H  TRANSPORT SI DEPOZITARE, Total, Cluj, Anul 2010, Mii persoane, 18.9
H  TRANSPORT SI DEPOZITARE, Total, Cluj, Anul 2011, Mii persoane, 19.8
H  TRANSPORT SI DEPOZITARE, Total, Cluj, Anul 2012, Mii persoane, 20.5
H  TRANSPORT SI DEPOZITARE, Total, Cluj, Anul 2013, Mii persoane, 20
H  TRANSPORT SI DEPOZITARE, Total, Maramures, Anul 2008, Mii persoane, 9.1
H  TRANSPORT SI DEPOZITARE, Total, Maramures, Anul 2009, Mii persoane, 8.9
H  TRANSPORT SI DEPOZITARE, Total, Maramures, Anul 2010, Mii persoane, 9.2
H  TRANSPORT SI DEPOZITARE, Total, Maramures, Anul 2011, Mii persoane, 9.4
H  TRANSPORT SI DEPOZITARE, Total, Maramures, Anul 2012, Mii persoane, 9.6
H  TRANSPORT SI DEPOZITARE, Total, Maramures, Anul 2013, Mii persoane, 9.3
H  TRANSPORT SI DEPOZITARE, Total, Satu Mare, Anul 2008, Mii persoane, 5.7
H  TRANSPORT SI DEPOZITARE, Total, Satu Mare, Anul 2009, Mii persoane, 5.8
H  TRANSPORT SI DEPOZITARE, Total, Satu Mare, Anul 2010, Mii persoane, 6.3
H  TRANSPORT SI DEPOZITARE, Total, Satu Mare, Anul 2011, Mii persoane, 6.3
H  TRANSPORT SI DEPOZITARE, Total, Satu Mare, Anul 2012, Mii persoane, 6.8
H  TRANSPORT SI DEPOZITARE, Total, Satu Mare, Anul 2013, Mii persoane, 6.5
H  TRANSPORT SI DEPOZITARE, Total, Salaj, Anul 2008, Mii persoane, 5.4
H  TRANSPORT SI DEPOZITARE, Total, Salaj, Anul 2009, Mii persoane, 5.4
H  TRANSPORT SI DEPOZITARE, Total, Salaj, Anul 2010, Mii persoane, 5.8
H  TRANSPORT SI DEPOZITARE, Total, Salaj, Anul 2011, Mii persoane, 5.9
H  TRANSPORT SI DEPOZITARE, Total, Salaj, Anul 2012, Mii persoane, 6.2
H  TRANSPORT SI DEPOZITARE, Total, Salaj, Anul 2013, Mii persoane, 5.9
H  TRANSPORT SI DEPOZITARE, Total, Regiunea CENTRU, Anul 2008, Mii persoane, 54.2
H  TRANSPORT SI DEPOZITARE, Total, Regiunea CENTRU, Anul 2009, Mii persoane, 55.6
H  TRANSPORT SI DEPOZITARE, Total, Regiunea CENTRU, Anul 2010, Mii persoane, 56.4
H  TRANSPORT SI DEPOZITARE, Total, Regiunea CENTRU, Anul 2011, Mii persoane, 57.3
H  TRANSPORT SI DEPOZITARE, Total, Regiunea CENTRU, Anul 2012, Mii persoane, 60.2
H  TRANSPORT SI DEPOZITARE, Total, Regiunea CENTRU, Anul 2013, Mii persoane, 57.7
H  TRANSPORT SI DEPOZITARE, Total, Alba, Anul 2008, Mii persoane, 8.4
H  TRANSPORT SI DEPOZITARE, Total, Alba, Anul 2009, Mii persoane, 8.6
H  TRANSPORT SI DEPOZITARE, Total, Alba, Anul 2010, Mii persoane, 9
H  TRANSPORT SI DEPOZITARE, Total, Alba, Anul 2011, Mii persoane, 8.9
H  TRANSPORT SI DEPOZITARE, Total, Alba, Anul 2012, Mii persoane, 9.6
H  TRANSPORT SI DEPOZITARE, Total, Alba, Anul 2013, Mii persoane, 9.1
H  TRANSPORT SI DEPOZITARE, Total, Brasov, Anul 2008, Mii persoane, 14
H  TRANSPORT SI DEPOZITARE, Total, Brasov, Anul 2009, Mii persoane, 14.5
H  TRANSPORT SI DEPOZITARE, Total, Brasov, Anul 2010, Mii persoane, 14.6
H  TRANSPORT SI DEPOZITARE, Total, Brasov, Anul 2011, Mii persoane, 14.9
H  TRANSPORT SI DEPOZITARE, Total, Brasov, Anul 2012, Mii persoane, 15.1
H  TRANSPORT SI DEPOZITARE, Total, Brasov, Anul 2013, Mii persoane, 14.7
H  TRANSPORT SI DEPOZITARE, Total, Covasna, Anul 2008, Mii persoane, 3
H  TRANSPORT SI DEPOZITARE, Total, Covasna, Anul 2009, Mii persoane, 3.4
H  TRANSPORT SI DEPOZITARE, Total, Covasna, Anul 2010, Mii persoane, 3.3
H  TRANSPORT SI DEPOZITARE, Total, Covasna, Anul 2011, Mii persoane, 3.5
H  TRANSPORT SI DEPOZITARE, Total, Covasna, Anul 2012, Mii persoane, 3.7
H  TRANSPORT SI DEPOZITARE, Total, Covasna, Anul 2013, Mii persoane, 3.7
H  TRANSPORT SI DEPOZITARE, Total, Harghita, Anul 2008, Mii persoane, 5.8
H  TRANSPORT SI DEPOZITARE, Total, Harghita, Anul 2009, Mii persoane, 6
H  TRANSPORT SI DEPOZITARE, Total, Harghita, Anul 2010, Mii persoane, 6
H  TRANSPORT SI DEPOZITARE, Total, Harghita, Anul 2011, Mii persoane, 6.1
H  TRANSPORT SI DEPOZITARE, Total, Harghita, Anul 2012, Mii persoane, 6.5
H  TRANSPORT SI DEPOZITARE, Total, Harghita, Anul 2013, Mii persoane, 5.8
H  TRANSPORT SI DEPOZITARE, Total, Mures, Anul 2008, Mii persoane, 12.5
H  TRANSPORT SI DEPOZITARE, Total, Mures, Anul 2009, Mii persoane, 12.5
H  TRANSPORT SI DEPOZITARE, Total, Mures, Anul 2010, Mii persoane, 12.8
H  TRANSPORT SI DEPOZITARE, Total, Mures, Anul 2011, Mii persoane, 12.8
H  TRANSPORT SI DEPOZITARE, Total, Mures, Anul 2012, Mii persoane, 13.2
H  TRANSPORT SI DEPOZITARE, Total, Mures, Anul 2013, Mii persoane, 12.8
H  TRANSPORT SI DEPOZITARE, Total, Sibiu, Anul 2008, Mii persoane, 10.5
H  TRANSPORT SI DEPOZITARE, Total, Sibiu, Anul 2009, Mii persoane, 10.6
H  TRANSPORT SI DEPOZITARE, Total, Sibiu, Anul 2010, Mii persoane, 10.7
H  TRANSPORT SI DEPOZITARE, Total, Sibiu, Anul 2011, Mii persoane, 11.1
H  TRANSPORT SI DEPOZITARE, Total, Sibiu, Anul 2012, Mii persoane, 12.1
H  TRANSPORT SI DEPOZITARE, Total, Sibiu, Anul 2013, Mii persoane, 11.6
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA DOI, Anul 2008, Mii persoane, 105.8
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA DOI, Anul 2009, Mii persoane, 103.1
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA DOI, Anul 2010, Mii persoane, 102.4
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA DOI, Anul 2011, Mii persoane, 102.6
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA DOI, Anul 2012, Mii persoane, 105.8
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA DOI, Anul 2013, Mii persoane, 100.9
H  TRANSPORT SI DEPOZITARE, Total, Regiunea NORD-EST, Anul 2008, Mii persoane, 45.2
H  TRANSPORT SI DEPOZITARE, Total, Regiunea NORD-EST, Anul 2009, Mii persoane, 45.3
H  TRANSPORT SI DEPOZITARE, Total, Regiunea NORD-EST, Anul 2010, Mii persoane, 46.8
H  TRANSPORT SI DEPOZITARE, Total, Regiunea NORD-EST, Anul 2011, Mii persoane, 46.8
H  TRANSPORT SI DEPOZITARE, Total, Regiunea NORD-EST, Anul 2012, Mii persoane, 48.9
H  TRANSPORT SI DEPOZITARE, Total, Regiunea NORD-EST, Anul 2013, Mii persoane, 46.3
H  TRANSPORT SI DEPOZITARE, Total, Bacau, Anul 2008, Mii persoane, 8.5
H  TRANSPORT SI DEPOZITARE, Total, Bacau, Anul 2009, Mii persoane, 8
H  TRANSPORT SI DEPOZITARE, Total, Bacau, Anul 2010, Mii persoane, 8.1
H  TRANSPORT SI DEPOZITARE, Total, Bacau, Anul 2011, Mii persoane, 7.9
H  TRANSPORT SI DEPOZITARE, Total, Bacau, Anul 2012, Mii persoane, 8.2
H  TRANSPORT SI DEPOZITARE, Total, Bacau, Anul 2013, Mii persoane, 7.5
H  TRANSPORT SI DEPOZITARE, Total, Botosani, Anul 2008, Mii persoane, 4.3
H  TRANSPORT SI DEPOZITARE, Total, Botosani, Anul 2009, Mii persoane, 4.7
H  TRANSPORT SI DEPOZITARE, Total, Botosani, Anul 2010, Mii persoane, 5.2
H  TRANSPORT SI DEPOZITARE, Total, Botosani, Anul 2011, Mii persoane, 5
H  TRANSPORT SI DEPOZITARE, Total, Botosani, Anul 2012, Mii persoane, 5.4
H  TRANSPORT SI DEPOZITARE, Total, Botosani, Anul 2013, Mii persoane, 4.9
H  TRANSPORT SI DEPOZITARE, Total, Iasi, Anul 2008, Mii persoane, 11.4
H  TRANSPORT SI DEPOZITARE, Total, Iasi, Anul 2009, Mii persoane, 11.4
H  TRANSPORT SI DEPOZITARE, Total, Iasi, Anul 2010, Mii persoane, 11.2
H  TRANSPORT SI DEPOZITARE, Total, Iasi, Anul 2011, Mii persoane, 11.4
H  TRANSPORT SI DEPOZITARE, Total, Iasi, Anul 2012, Mii persoane, 12.1
H  TRANSPORT SI DEPOZITARE, Total, Iasi, Anul 2013, Mii persoane, 11.6
H  TRANSPORT SI DEPOZITARE, Total, Neamt, Anul 2008, Mii persoane, 6.4
H  TRANSPORT SI DEPOZITARE, Total, Neamt, Anul 2009, Mii persoane, 6.7
H  TRANSPORT SI DEPOZITARE, Total, Neamt, Anul 2010, Mii persoane, 7.1
H  TRANSPORT SI DEPOZITARE, Total, Neamt, Anul 2011, Mii persoane, 7.2
H  TRANSPORT SI DEPOZITARE, Total, Neamt, Anul 2012, Mii persoane, 7.4
H  TRANSPORT SI DEPOZITARE, Total, Neamt, Anul 2013, Mii persoane, 6.9
H  TRANSPORT SI DEPOZITARE, Total, Suceava, Anul 2008, Mii persoane, 10.1
H  TRANSPORT SI DEPOZITARE, Total, Suceava, Anul 2009, Mii persoane, 9.8
H  TRANSPORT SI DEPOZITARE, Total, Suceava, Anul 2010, Mii persoane, 9.8
H  TRANSPORT SI DEPOZITARE, Total, Suceava, Anul 2011, Mii persoane, 9.8
H  TRANSPORT SI DEPOZITARE, Total, Suceava, Anul 2012, Mii persoane, 10
H  TRANSPORT SI DEPOZITARE, Total, Suceava, Anul 2013, Mii persoane, 10.1
H  TRANSPORT SI DEPOZITARE, Total, Vaslui, Anul 2008, Mii persoane, 4.5
H  TRANSPORT SI DEPOZITARE, Total, Vaslui, Anul 2009, Mii persoane, 4.7
H  TRANSPORT SI DEPOZITARE, Total, Vaslui, Anul 2010, Mii persoane, 5.4
H  TRANSPORT SI DEPOZITARE, Total, Vaslui, Anul 2011, Mii persoane, 5.5
H  TRANSPORT SI DEPOZITARE, Total, Vaslui, Anul 2012, Mii persoane, 5.8
H  TRANSPORT SI DEPOZITARE, Total, Vaslui, Anul 2013, Mii persoane, 5.3
H  TRANSPORT SI DEPOZITARE, Total, Regiunea SUD-EST, Anul 2008, Mii persoane, 60.6
H  TRANSPORT SI DEPOZITARE, Total, Regiunea SUD-EST, Anul 2009, Mii persoane, 57.8
H  TRANSPORT SI DEPOZITARE, Total, Regiunea SUD-EST, Anul 2010, Mii persoane, 55.6
H  TRANSPORT SI DEPOZITARE, Total, Regiunea SUD-EST, Anul 2011, Mii persoane, 55.8
H  TRANSPORT SI DEPOZITARE, Total, Regiunea SUD-EST, Anul 2012, Mii persoane, 56.9
H  TRANSPORT SI DEPOZITARE, Total, Regiunea SUD-EST, Anul 2013, Mii persoane, 54.6
H  TRANSPORT SI DEPOZITARE, Total, Braila, Anul 2008, Mii persoane, 4.9
H  TRANSPORT SI DEPOZITARE, Total, Braila, Anul 2009, Mii persoane, 4.9
H  TRANSPORT SI DEPOZITARE, Total, Braila, Anul 2010, Mii persoane, 4.9
H  TRANSPORT SI DEPOZITARE, Total, Braila, Anul 2011, Mii persoane, 4.8
H  TRANSPORT SI DEPOZITARE, Total, Braila, Anul 2012, Mii persoane, 4.7
H  TRANSPORT SI DEPOZITARE, Total, Braila, Anul 2013, Mii persoane, 4.5
H  TRANSPORT SI DEPOZITARE, Total, Buzau, Anul 2008, Mii persoane, 6.2
H  TRANSPORT SI DEPOZITARE, Total, Buzau, Anul 2009, Mii persoane, 6.5
H  TRANSPORT SI DEPOZITARE, Total, Buzau, Anul 2010, Mii persoane, 6.6
H  TRANSPORT SI DEPOZITARE, Total, Buzau, Anul 2011, Mii persoane, 6.8
H  TRANSPORT SI DEPOZITARE, Total, Buzau, Anul 2012, Mii persoane, 7.2
H  TRANSPORT SI DEPOZITARE, Total, Buzau, Anul 2013, Mii persoane, 6.8
H  TRANSPORT SI DEPOZITARE, Total, Constanta, Anul 2008, Mii persoane, 29.2
H  TRANSPORT SI DEPOZITARE, Total, Constanta, Anul 2009, Mii persoane, 26.9
H  TRANSPORT SI DEPOZITARE, Total, Constanta, Anul 2010, Mii persoane, 25.3
H  TRANSPORT SI DEPOZITARE, Total, Constanta, Anul 2011, Mii persoane, 25.3
H  TRANSPORT SI DEPOZITARE, Total, Constanta, Anul 2012, Mii persoane, 25.8
H  TRANSPORT SI DEPOZITARE, Total, Constanta, Anul 2013, Mii persoane, 25.2
H  TRANSPORT SI DEPOZITARE, Total, Galati, Anul 2008, Mii persoane, 11.1
H  TRANSPORT SI DEPOZITARE, Total, Galati, Anul 2009, Mii persoane, 10.3
H  TRANSPORT SI DEPOZITARE, Total, Galati, Anul 2010, Mii persoane, 9.3
H  TRANSPORT SI DEPOZITARE, Total, Galati, Anul 2011, Mii persoane, 9.2
H  TRANSPORT SI DEPOZITARE, Total, Galati, Anul 2012, Mii persoane, 9.3
H  TRANSPORT SI DEPOZITARE, Total, Galati, Anul 2013, Mii persoane, 8.7
H  TRANSPORT SI DEPOZITARE, Total, Tulcea, Anul 2008, Mii persoane, 3.7
H  TRANSPORT SI DEPOZITARE, Total, Tulcea, Anul 2009, Mii persoane, 3.6
H  TRANSPORT SI DEPOZITARE, Total, Tulcea, Anul 2010, Mii persoane, 3.6
H  TRANSPORT SI DEPOZITARE, Total, Tulcea, Anul 2011, Mii persoane, 3.8
H  TRANSPORT SI DEPOZITARE, Total, Tulcea, Anul 2012, Mii persoane, 3.8
H  TRANSPORT SI DEPOZITARE, Total, Tulcea, Anul 2013, Mii persoane, 3.7
H  TRANSPORT SI DEPOZITARE, Total, Vrancea, Anul 2008, Mii persoane, 5.5
H  TRANSPORT SI DEPOZITARE, Total, Vrancea, Anul 2009, Mii persoane, 5.6
H  TRANSPORT SI DEPOZITARE, Total, Vrancea, Anul 2010, Mii persoane, 5.9
H  TRANSPORT SI DEPOZITARE, Total, Vrancea, Anul 2011, Mii persoane, 5.9
H  TRANSPORT SI DEPOZITARE, Total, Vrancea, Anul 2012, Mii persoane, 6.1
H  TRANSPORT SI DEPOZITARE, Total, Vrancea, Anul 2013, Mii persoane, 5.7
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA TREI, Anul 2008, Mii persoane, 131.3
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA TREI, Anul 2009, Mii persoane, 129.2
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA TREI, Anul 2010, Mii persoane, 130.7
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA TREI, Anul 2011, Mii persoane, 135.7
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA TREI, Anul 2012, Mii persoane, 137.6
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA TREI, Anul 2013, Mii persoane, 132.3
H  TRANSPORT SI DEPOZITARE, Total, Regiunea SUD-MUNTENIA, Anul 2008, Mii persoane, 52.5
H  TRANSPORT SI DEPOZITARE, Total, Regiunea SUD-MUNTENIA, Anul 2009, Mii persoane, 54.5
H  TRANSPORT SI DEPOZITARE, Total, Regiunea SUD-MUNTENIA, Anul 2010, Mii persoane, 56.6
H  TRANSPORT SI DEPOZITARE, Total, Regiunea SUD-MUNTENIA, Anul 2011, Mii persoane, 58.1
H  TRANSPORT SI DEPOZITARE, Total, Regiunea SUD-MUNTENIA, Anul 2012, Mii persoane, 60.3
H  TRANSPORT SI DEPOZITARE, Total, Regiunea SUD-MUNTENIA, Anul 2013, Mii persoane, 57.7
H  TRANSPORT SI DEPOZITARE, Total, Arges, Anul 2008, Mii persoane, 10
H  TRANSPORT SI DEPOZITARE, Total, Arges, Anul 2009, Mii persoane, 10.4
H  TRANSPORT SI DEPOZITARE, Total, Arges, Anul 2010, Mii persoane, 11.2
H  TRANSPORT SI DEPOZITARE, Total, Arges, Anul 2011, Mii persoane, 11.2
H  TRANSPORT SI DEPOZITARE, Total, Arges, Anul 2012, Mii persoane, 11.9
H  TRANSPORT SI DEPOZITARE, Total, Arges, Anul 2013, Mii persoane, 11.3
H  TRANSPORT SI DEPOZITARE, Total, Calarasi, Anul 2008, Mii persoane, 3.5
H  TRANSPORT SI DEPOZITARE, Total, Calarasi, Anul 2009, Mii persoane, 3.7
H  TRANSPORT SI DEPOZITARE, Total, Calarasi, Anul 2010, Mii persoane, 3.6
H  TRANSPORT SI DEPOZITARE, Total, Calarasi, Anul 2011, Mii persoane, 3.8
H  TRANSPORT SI DEPOZITARE, Total, Calarasi, Anul 2012, Mii persoane, 3.8
H  TRANSPORT SI DEPOZITARE, Total, Calarasi, Anul 2013, Mii persoane, 3.6
H  TRANSPORT SI DEPOZITARE, Total, Dambovita, Anul 2008, Mii persoane, 10.3
H  TRANSPORT SI DEPOZITARE, Total, Dambovita, Anul 2009, Mii persoane, 10.8
H  TRANSPORT SI DEPOZITARE, Total, Dambovita, Anul 2010, Mii persoane, 12
H  TRANSPORT SI DEPOZITARE, Total, Dambovita, Anul 2011, Mii persoane, 12.3
H  TRANSPORT SI DEPOZITARE, Total, Dambovita, Anul 2012, Mii persoane, 13.1
H  TRANSPORT SI DEPOZITARE, Total, Dambovita, Anul 2013, Mii persoane, 12.3
H  TRANSPORT SI DEPOZITARE, Total, Giurgiu, Anul 2008, Mii persoane, 3.7
H  TRANSPORT SI DEPOZITARE, Total, Giurgiu, Anul 2009, Mii persoane, 3.8
H  TRANSPORT SI DEPOZITARE, Total, Giurgiu, Anul 2010, Mii persoane, 3.9
H  TRANSPORT SI DEPOZITARE, Total, Giurgiu, Anul 2011, Mii persoane, 4.3
H  TRANSPORT SI DEPOZITARE, Total, Giurgiu, Anul 2012, Mii persoane, 4.4
H  TRANSPORT SI DEPOZITARE, Total, Giurgiu, Anul 2013, Mii persoane, 4.4
H  TRANSPORT SI DEPOZITARE, Total, Ialomita, Anul 2008, Mii persoane, 3.9
H  TRANSPORT SI DEPOZITARE, Total, Ialomita, Anul 2009, Mii persoane, 4.2
H  TRANSPORT SI DEPOZITARE, Total, Ialomita, Anul 2010, Mii persoane, 4.1
H  TRANSPORT SI DEPOZITARE, Total, Ialomita, Anul 2011, Mii persoane, 4.3
H  TRANSPORT SI DEPOZITARE, Total, Ialomita, Anul 2012, Mii persoane, 4.5
H  TRANSPORT SI DEPOZITARE, Total, Ialomita, Anul 2013, Mii persoane, 4.4
H  TRANSPORT SI DEPOZITARE, Total, Prahova, Anul 2008, Mii persoane, 16.7
H  TRANSPORT SI DEPOZITARE, Total, Prahova, Anul 2009, Mii persoane, 17
H  TRANSPORT SI DEPOZITARE, Total, Prahova, Anul 2010, Mii persoane, 17
H  TRANSPORT SI DEPOZITARE, Total, Prahova, Anul 2011, Mii persoane, 17.1
H  TRANSPORT SI DEPOZITARE, Total, Prahova, Anul 2012, Mii persoane, 17
H  TRANSPORT SI DEPOZITARE, Total, Prahova, Anul 2013, Mii persoane, 16.4
H  TRANSPORT SI DEPOZITARE, Total, Teleorman, Anul 2008, Mii persoane, 4.4
H  TRANSPORT SI DEPOZITARE, Total, Teleorman, Anul 2009, Mii persoane, 4.6
H  TRANSPORT SI DEPOZITARE, Total, Teleorman, Anul 2010, Mii persoane, 4.8
H  TRANSPORT SI DEPOZITARE, Total, Teleorman, Anul 2011, Mii persoane, 5.1
H  TRANSPORT SI DEPOZITARE, Total, Teleorman, Anul 2012, Mii persoane, 5.6
H  TRANSPORT SI DEPOZITARE, Total, Teleorman, Anul 2013, Mii persoane, 5.3
H  TRANSPORT SI DEPOZITARE, Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Mii persoane, 78.8
H  TRANSPORT SI DEPOZITARE, Total, Regiunea BUCURESTI - ILFOV, Anul 2009, Mii persoane, 74.7
H  TRANSPORT SI DEPOZITARE, Total, Regiunea BUCURESTI - ILFOV, Anul 2010, Mii persoane, 74.1
H  TRANSPORT SI DEPOZITARE, Total, Regiunea BUCURESTI - ILFOV, Anul 2011, Mii persoane, 77.6
H  TRANSPORT SI DEPOZITARE, Total, Regiunea BUCURESTI - ILFOV, Anul 2012, Mii persoane, 77.3
H  TRANSPORT SI DEPOZITARE, Total, Regiunea BUCURESTI - ILFOV, Anul 2013, Mii persoane, 74.6
