
CAEN Rev.1 (activitati ale economiei nationale - sectiuni), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
G Comert, Total, Bistrita-Nasaud, Anul 2003, Mii persoane, 11.2
G Comert, Total, Bistrita-Nasaud, Anul 2004, Mii persoane, 11.8
G Comert, Total, Bistrita-Nasaud, Anul 2005, Mii persoane, 14.5
G Comert, Total, Bistrita-Nasaud, Anul 2006, Mii persoane, 15.7
G Comert, Total, Bistrita-Nasaud, Anul 2007, Mii persoane, 16.6
G Comert, Total, Bistrita-Nasaud, Anul 2008, Mii persoane, 15.2
G Comert, Total, Cluj, Anul 2001, Mii persoane, 28.8
G Comert, Total, Cluj, Anul 2002, Mii persoane, 35
G Comert, Total, Cluj, Anul 2003, Mii persoane, 38
G Comert, Total, Cluj, Anul 2004, Mii persoane, 38.9
G Comert, Total, Cluj, Anul 2005, Mii persoane, 43.1
G Comert, Total, Cluj, Anul 2006, Mii persoane, 48.2
G Comert, Total, Cluj, Anul 2007, Mii persoane, 53.5
G Comert, Total, Cluj, Anul 2008, Mii persoane, 52.2
G Comert, Total, Maramures, Anul 2001, Mii persoane, 18.1
G Comert, Total, Maramures, Anul 2002, Mii persoane, 17.3
G Comert, Total, Maramures, Anul 2003, Mii persoane, 18.3
G Comert, Total, Maramures, Anul 2004, Mii persoane, 18.2
G Comert, Total, Maramures, Anul 2005, Mii persoane, 21
G Comert, Total, Maramures, Anul 2006, Mii persoane, 22.2
G Comert, Total, Maramures, Anul 2007, Mii persoane, 22.5
G Comert, Total, Maramures, Anul 2008, Mii persoane, 21
G Comert, Total, Satu Mare, Anul 2001, Mii persoane, 12.7
G Comert, Total, Satu Mare, Anul 2002, Mii persoane, 11.4
G Comert, Total, Satu Mare, Anul 2003, Mii persoane, 12.1
G Comert, Total, Satu Mare, Anul 2004, Mii persoane, 12.8
G Comert, Total, Satu Mare, Anul 2005, Mii persoane, 14.6
G Comert, Total, Satu Mare, Anul 2006, Mii persoane, 15.8
G Comert, Total, Satu Mare, Anul 2007, Mii persoane, 16.5
G Comert, Total, Satu Mare, Anul 2008, Mii persoane, 15.8
G Comert, Total, Salaj, Anul 2001, Mii persoane, 7
G Comert, Total, Salaj, Anul 2002, Mii persoane, 8.4
G Comert, Total, Salaj, Anul 2003, Mii persoane, 9.1
G Comert, Total, Salaj, Anul 2004, Mii persoane, 10.3
G Comert, Total, Salaj, Anul 2005, Mii persoane, 11.5
G Comert, Total, Salaj, Anul 2006, Mii persoane, 12.4
G Comert, Total, Salaj, Anul 2007, Mii persoane, 13.7
G Comert, Total, Salaj, Anul 2008, Mii persoane, 12.6
G Comert, Total, Regiunea CENTRU, Anul 2001, Mii persoane, 103.7
G Comert, Total, Regiunea CENTRU, Anul 2002, Mii persoane, 116.4
G Comert, Total, Regiunea CENTRU, Anul 2003, Mii persoane, 122.7
G Comert, Total, Regiunea CENTRU, Anul 2004, Mii persoane, 124.8
G Comert, Total, Regiunea CENTRU, Anul 2005, Mii persoane, 133.2
G Comert, Total, Regiunea CENTRU, Anul 2006, Mii persoane, 146.7
G Comert, Total, Regiunea CENTRU, Anul 2007, Mii persoane, 157.5
G Comert, Total, Regiunea CENTRU, Anul 2008, Mii persoane, 147.3
G Comert, Total, Alba, Anul 2001, Mii persoane, 14.2
G Comert, Total, Alba, Anul 2002, Mii persoane, 20.3
G Comert, Total, Alba, Anul 2003, Mii persoane, 20.3
G Comert, Total, Alba, Anul 2004, Mii persoane, 19.3
G Comert, Total, Alba, Anul 2005, Mii persoane, 21.2
G Comert, Total, Alba, Anul 2006, Mii persoane, 23
G Comert, Total, Alba, Anul 2007, Mii persoane, 23.3
G Comert, Total, Alba, Anul 2008, Mii persoane, 21.1
G Comert, Total, Brasov, Anul 2001, Mii persoane, 27.8
G Comert, Total, Brasov, Anul 2002, Mii persoane, 30.9
G Comert, Total, Brasov, Anul 2003, Mii persoane, 31
G Comert, Total, Brasov, Anul 2004, Mii persoane, 33.9
G Comert, Total, Brasov, Anul 2005, Mii persoane, 35.6
G Comert, Total, Brasov, Anul 2006, Mii persoane, 38.3
G Comert, Total, Brasov, Anul 2007, Mii persoane, 42.8
G Comert, Total, Brasov, Anul 2008, Mii persoane, 41.3
G Comert, Total, Covasna, Anul 2001, Mii persoane, 8.6
G Comert, Total, Covasna, Anul 2002, Mii persoane, 8.2
G Comert, Total, Covasna, Anul 2003, Mii persoane, 10.5
G Comert, Total, Covasna, Anul 2004, Mii persoane, 10.1
G Comert, Total, Covasna, Anul 2005, Mii persoane, 10.6
G Comert, Total, Covasna, Anul 2006, Mii persoane, 11.7
G Comert, Total, Covasna, Anul 2007, Mii persoane, 13.2
G Comert, Total, Covasna, Anul 2008, Mii persoane, 12
G Comert, Total, Harghita, Anul 2001, Mii persoane, 13
G Comert, Total, Harghita, Anul 2002, Mii persoane, 11.3
G Comert, Total, Harghita, Anul 2003, Mii persoane, 12.2
G Comert, Total, Harghita, Anul 2004, Mii persoane, 12
G Comert, Total, Harghita, Anul 2005, Mii persoane, 14.7
G Comert, Total, Harghita, Anul 2006, Mii persoane, 16.7
G Comert, Total, Harghita, Anul 2007, Mii persoane, 18
G Comert, Total, Harghita, Anul 2008, Mii persoane, 16.8
G Comert, Total, Mures, Anul 2001, Mii persoane, 20
G Comert, Total, Mures, Anul 2002, Mii persoane, 26
G Comert, Total, Mures, Anul 2003, Mii persoane, 27.5
G Comert, Total, Mures, Anul 2004, Mii persoane, 27.5
G Comert, Total, Mures, Anul 2005, Mii persoane, 28.2
G Comert, Total, Mures, Anul 2006, Mii persoane, 30.4
G Comert, Total, Mures, Anul 2007, Mii persoane, 33.4
G Comert, Total, Mures, Anul 2008, Mii persoane, 29.9
G Comert, Total, Sibiu, Anul 2001, Mii persoane, 20.1
G Comert, Total, Sibiu, Anul 2002, Mii persoane, 19.7
G Comert, Total, Sibiu, Anul 2003, Mii persoane, 21.2
G Comert, Total, Sibiu, Anul 2004, Mii persoane, 22
G Comert, Total, Sibiu, Anul 2005, Mii persoane, 22.9
G Comert, Total, Sibiu, Anul 2006, Mii persoane, 26.6
G Comert, Total, Sibiu, Anul 2007, Mii persoane, 26.8
G Comert, Total, Sibiu, Anul 2008, Mii persoane, 26.2
G Comert, Total, MACROREGIUNEA DOI, Anul 2001, Mii persoane, 201.5
G Comert, Total, MACROREGIUNEA DOI, Anul 2002, Mii persoane, 211
G Comert, Total, MACROREGIUNEA DOI, Anul 2003, Mii persoane, 221.3
G Comert, Total, MACROREGIUNEA DOI, Anul 2004, Mii persoane, 228.2
G Comert, Total, MACROREGIUNEA DOI, Anul 2005, Mii persoane, 252.8
G Comert, Total, MACROREGIUNEA DOI, Anul 2006, Mii persoane, 270.3
G Comert, Total, MACROREGIUNEA DOI, Anul 2007, Mii persoane, 285
G Comert, Total, MACROREGIUNEA DOI, Anul 2008, Mii persoane, 274.5
G Comert, Total, Regiunea NORD-EST, Anul 2001, Mii persoane, 114.2
G Comert, Total, Regiunea NORD-EST, Anul 2002, Mii persoane, 111
G Comert, Total, Regiunea NORD-EST, Anul 2003, Mii persoane, 117.7
G Comert, Total, Regiunea NORD-EST, Anul 2004, Mii persoane, 120.7
G Comert, Total, Regiunea NORD-EST, Anul 2005, Mii persoane, 135.6
G Comert, Total, Regiunea NORD-EST, Anul 2006, Mii persoane, 143.2
G Comert, Total, Regiunea NORD-EST, Anul 2007, Mii persoane, 151.1
G Comert, Total, Regiunea NORD-EST, Anul 2008, Mii persoane, 143.2
G Comert, Total, Bacau, Anul 2001, Mii persoane, 25.4
G Comert, Total, Bacau, Anul 2002, Mii persoane, 23.4
G Comert, Total, Bacau, Anul 2003, Mii persoane, 25.5
G Comert, Total, Bacau, Anul 2004, Mii persoane, 25.5
G Comert, Total, Bacau, Anul 2005, Mii persoane, 26.7
G Comert, Total, Bacau, Anul 2006, Mii persoane, 28.5
G Comert, Total, Bacau, Anul 2007, Mii persoane, 29.5
G Comert, Total, Bacau, Anul 2008, Mii persoane, 29
G Comert, Total, Botosani, Anul 2001, Mii persoane, 10.6
G Comert, Total, Botosani, Anul 2002, Mii persoane, 10.6
G Comert, Total, Botosani, Anul 2003, Mii persoane, 11
G Comert, Total, Botosani, Anul 2004, Mii persoane, 11.5
G Comert, Total, Botosani, Anul 2005, Mii persoane, 13.6
G Comert, Total, Botosani, Anul 2006, Mii persoane, 14.7
G Comert, Total, Botosani, Anul 2007, Mii persoane, 15.8
G Comert, Total, Botosani, Anul 2008, Mii persoane, 14.1
G Comert, Total, Iasi, Anul 2001, Mii persoane, 28.5
G Comert, Total, Iasi, Anul 2002, Mii persoane, 27.8
G Comert, Total, Iasi, Anul 2003, Mii persoane, 28.7
G Comert, Total, Iasi, Anul 2004, Mii persoane, 29.9
G Comert, Total, Iasi, Anul 2005, Mii persoane, 32.9
G Comert, Total, Iasi, Anul 2006, Mii persoane, 34.5
G Comert, Total, Iasi, Anul 2007, Mii persoane, 37.4
G Comert, Total, Iasi, Anul 2008, Mii persoane, 35.7
G Comert, Total, Neamt, Anul 2001, Mii persoane, 17.3
G Comert, Total, Neamt, Anul 2002, Mii persoane, 19.1
G Comert, Total, Neamt, Anul 2003, Mii persoane, 21.3
G Comert, Total, Neamt, Anul 2004, Mii persoane, 23.1
G Comert, Total, Neamt, Anul 2005, Mii persoane, 24.6
G Comert, Total, Neamt, Anul 2006, Mii persoane, 26
G Comert, Total, Neamt, Anul 2007, Mii persoane, 26.6
G Comert, Total, Neamt, Anul 2008, Mii persoane, 24.7
G Comert, Total, Suceava, Anul 2001, Mii persoane, 21.6
G Comert, Total, Suceava, Anul 2002, Mii persoane, 21.8
G Comert, Total, Suceava, Anul 2003, Mii persoane, 21.3
G Comert, Total, Suceava, Anul 2004, Mii persoane, 22
G Comert, Total, Suceava, Anul 2005, Mii persoane, 26.2
G Comert, Total, Suceava, Anul 2006, Mii persoane, 27.1
G Comert, Total, Suceava, Anul 2007, Mii persoane, 28.5
G Comert, Total, Suceava, Anul 2008, Mii persoane, 27.2
G Comert, Total, Vaslui, Anul 2001, Mii persoane, 10.8
G Comert, Total, Vaslui, Anul 2002, Mii persoane, 8.3
G Comert, Total, Vaslui, Anul 2003, Mii persoane, 9.9
G Comert, Total, Vaslui, Anul 2004, Mii persoane, 8.7
G Comert, Total, Vaslui, Anul 2005, Mii persoane, 11.6
G Comert, Total, Vaslui, Anul 2006, Mii persoane, 12.4
G Comert, Total, Vaslui, Anul 2007, Mii persoane, 13.3
G Comert, Total, Vaslui, Anul 2008, Mii persoane, 12.5
G Comert, Total, Regiunea SUD-EST, Anul 2001, Mii persoane, 87.3
G Comert, Total, Regiunea SUD-EST, Anul 2002, Mii persoane, 100
G Comert, Total, Regiunea SUD-EST, Anul 2003, Mii persoane, 103.6
G Comert, Total, Regiunea SUD-EST, Anul 2004, Mii persoane, 107.5
G Comert, Total, Regiunea SUD-EST, Anul 2005, Mii persoane, 117.2
G Comert, Total, Regiunea SUD-EST, Anul 2006, Mii persoane, 127.1
G Comert, Total, Regiunea SUD-EST, Anul 2007, Mii persoane, 133.9
G Comert, Total, Regiunea SUD-EST, Anul 2008, Mii persoane, 131.3
G Comert, Total, Braila, Anul 2001, Mii persoane, 10.6
G Comert, Total, Braila, Anul 2002, Mii persoane, 8.7
G Comert, Total, Braila, Anul 2003, Mii persoane, 9.9
G Comert, Total, Braila, Anul 2004, Mii persoane, 9.6
G Comert, Total, Braila, Anul 2005, Mii persoane, 13.4
G Comert, Total, Braila, Anul 2006, Mii persoane, 14.6
G Comert, Total, Braila, Anul 2007, Mii persoane, 17.2
G Comert, Total, Braila, Anul 2008, Mii persoane, 16.7
G Comert, Total, Buzau, Anul 2001, Mii persoane, 13.6
G Comert, Total, Buzau, Anul 2002, Mii persoane, 16.3
G Comert, Total, Buzau, Anul 2003, Mii persoane, 18.7
G Comert, Total, Buzau, Anul 2004, Mii persoane, 19.1
G Comert, Total, Buzau, Anul 2005, Mii persoane, 18.6
G Comert, Total, Buzau, Anul 2006, Mii persoane, 20.2
G Comert, Total, Buzau, Anul 2007, Mii persoane, 21.1
G Comert, Total, Buzau, Anul 2008, Mii persoane, 21.4
G Comert, Total, Constanta, Anul 2001, Mii persoane, 31.7
G Comert, Total, Constanta, Anul 2002, Mii persoane, 37.6
G Comert, Total, Constanta, Anul 2003, Mii persoane, 39.2
G Comert, Total, Constanta, Anul 2004, Mii persoane, 40.6
G Comert, Total, Constanta, Anul 2005, Mii persoane, 42.6
G Comert, Total, Constanta, Anul 2006, Mii persoane, 45.6
G Comert, Total, Constanta, Anul 2007, Mii persoane, 46
G Comert, Total, Constanta, Anul 2008, Mii persoane, 45.8
G Comert, Total, Galati, Anul 2001, Mii persoane, 16.1
G Comert, Total, Galati, Anul 2002, Mii persoane, 20.7
G Comert, Total, Galati, Anul 2003, Mii persoane, 19.4
G Comert, Total, Galati, Anul 2004, Mii persoane, 21.6
G Comert, Total, Galati, Anul 2005, Mii persoane, 23.4
G Comert, Total, Galati, Anul 2006, Mii persoane, 25.4
G Comert, Total, Galati, Anul 2007, Mii persoane, 26.5
G Comert, Total, Galati, Anul 2008, Mii persoane, 25.2
G Comert, Total, Tulcea, Anul 2001, Mii persoane, 7.2
G Comert, Total, Tulcea, Anul 2002, Mii persoane, 6.4
G Comert, Total, Tulcea, Anul 2003, Mii persoane, 5.5
G Comert, Total, Tulcea, Anul 2004, Mii persoane, 4.9
G Comert, Total, Tulcea, Anul 2005, Mii persoane, 6.4
G Comert, Total, Tulcea, Anul 2006, Mii persoane, 7.4
G Comert, Total, Tulcea, Anul 2007, Mii persoane, 8
G Comert, Total, Tulcea, Anul 2008, Mii persoane, 7.8
G Comert, Total, Vrancea, Anul 2001, Mii persoane, 8.1
G Comert, Total, Vrancea, Anul 2002, Mii persoane, 10.3
G Comert, Total, Vrancea, Anul 2003, Mii persoane, 10.9
G Comert, Total, Vrancea, Anul 2004, Mii persoane, 11.7
G Comert, Total, Vrancea, Anul 2005, Mii persoane, 12.8
G Comert, Total, Vrancea, Anul 2006, Mii persoane, 13.9
G Comert, Total, Vrancea, Anul 2007, Mii persoane, 15.1
G Comert, Total, Vrancea, Anul 2008, Mii persoane, 14.4
G Comert, Total, MACROREGIUNEA TREI, Anul 2001, Mii persoane, 236.4
G Comert, Total, MACROREGIUNEA TREI, Anul 2002, Mii persoane, 245.7
G Comert, Total, MACROREGIUNEA TREI, Anul 2003, Mii persoane, 266.7
G Comert, Total, MACROREGIUNEA TREI, Anul 2004, Mii persoane, 279.3
G Comert, Total, MACROREGIUNEA TREI, Anul 2005, Mii persoane, 317.8
G Comert, Total, MACROREGIUNEA TREI, Anul 2006, Mii persoane, 341.8
G Comert, Total, MACROREGIUNEA TREI, Anul 2007, Mii persoane, 375.4
G Comert, Total, MACROREGIUNEA TREI, Anul 2008, Mii persoane, 380.9
G Comert, Total, Regiunea SUD-MUNTENIA, Anul 2001, Mii persoane, 96.1
G Comert, Total, Regiunea SUD-MUNTENIA, Anul 2002, Mii persoane, 104.1
G Comert, Total, Regiunea SUD-MUNTENIA, Anul 2003, Mii persoane, 111.1
G Comert, Total, Regiunea SUD-MUNTENIA, Anul 2004, Mii persoane, 115.2
G Comert, Total, Regiunea SUD-MUNTENIA, Anul 2005, Mii persoane, 123.4
G Comert, Total, Regiunea SUD-MUNTENIA, Anul 2006, Mii persoane, 130.8
G Comert, Total, Regiunea SUD-MUNTENIA, Anul 2007, Mii persoane, 138.1
G Comert, Total, Regiunea SUD-MUNTENIA, Anul 2008, Mii persoane, 132.5
G Comert, Total, Arges, Anul 2001, Mii persoane, 21.8
G Comert, Total, Arges, Anul 2002, Mii persoane, 23.8
G Comert, Total, Arges, Anul 2003, Mii persoane, 26.5
G Comert, Total, Arges, Anul 2004, Mii persoane, 26.7
G Comert, Total, Arges, Anul 2005, Mii persoane, 27.2
G Comert, Total, Arges, Anul 2006, Mii persoane, 28.7
G Comert, Total, Arges, Anul 2007, Mii persoane, 29.6
G Comert, Total, Arges, Anul 2008, Mii persoane, 28.4
G Comert, Total, Calarasi, Anul 2001, Mii persoane, 5.8
G Comert, Total, Calarasi, Anul 2002, Mii persoane, 6.2
G Comert, Total, Calarasi, Anul 2003, Mii persoane, 7.2
G Comert, Total, Calarasi, Anul 2004, Mii persoane, 7.8
G Comert, Total, Calarasi, Anul 2005, Mii persoane, 8.4
G Comert, Total, Calarasi, Anul 2006, Mii persoane, 8.5
G Comert, Total, Calarasi, Anul 2007, Mii persoane, 8.1
G Comert, Total, Calarasi, Anul 2008, Mii persoane, 9
G Comert, Total, Dambovita, Anul 2001, Mii persoane, 16.2
G Comert, Total, Dambovita, Anul 2002, Mii persoane, 20.3
G Comert, Total, Dambovita, Anul 2003, Mii persoane, 22.3
G Comert, Total, Dambovita, Anul 2004, Mii persoane, 22.7
G Comert, Total, Dambovita, Anul 2005, Mii persoane, 24.3
G Comert, Total, Dambovita, Anul 2006, Mii persoane, 25.1
G Comert, Total, Dambovita, Anul 2007, Mii persoane, 27.3
G Comert, Total, Dambovita, Anul 2008, Mii persoane, 24.2
G Comert, Total, Giurgiu, Anul 2001, Mii persoane, 5.2
G Comert, Total, Giurgiu, Anul 2002, Mii persoane, 5.6
G Comert, Total, Giurgiu, Anul 2003, Mii persoane, 5.7
G Comert, Total, Giurgiu, Anul 2004, Mii persoane, 5.5
G Comert, Total, Giurgiu, Anul 2005, Mii persoane, 6.3
G Comert, Total, Giurgiu, Anul 2006, Mii persoane, 6.8
G Comert, Total, Giurgiu, Anul 2007, Mii persoane, 7.6
G Comert, Total, Giurgiu, Anul 2008, Mii persoane, 7.2
G Comert, Total, Ialomita, Anul 2001, Mii persoane, 8.3
G Comert, Total, Ialomita, Anul 2002, Mii persoane, 8.4
G Comert, Total, Ialomita, Anul 2003, Mii persoane, 8.9
G Comert, Total, Ialomita, Anul 2004, Mii persoane, 10.4
G Comert, Total, Ialomita, Anul 2005, Mii persoane, 10.1
G Comert, Total, Ialomita, Anul 2006, Mii persoane, 10.7
G Comert, Total, Ialomita, Anul 2007, Mii persoane, 11.5
G Comert, Total, Ialomita, Anul 2008, Mii persoane, 12.1
G Comert, Total, Prahova, Anul 2001, Mii persoane, 28.6
G Comert, Total, Prahova, Anul 2002, Mii persoane, 28.3
G Comert, Total, Prahova, Anul 2003, Mii persoane, 30.3
G Comert, Total, Prahova, Anul 2004, Mii persoane, 31.2
G Comert, Total, Prahova, Anul 2005, Mii persoane, 34.7
G Comert, Total, Prahova, Anul 2006, Mii persoane, 37.6
G Comert, Total, Prahova, Anul 2007, Mii persoane, 39.9
G Comert, Total, Prahova, Anul 2008, Mii persoane, 38.3
G Comert, Total, Teleorman, Anul 2001, Mii persoane, 10.2
G Comert, Total, Teleorman, Anul 2002, Mii persoane, 11.5
G Comert, Total, Teleorman, Anul 2003, Mii persoane, 10.2
G Comert, Total, Teleorman, Anul 2004, Mii persoane, 10.9
G Comert, Total, Teleorman, Anul 2005, Mii persoane, 12.4
G Comert, Total, Teleorman, Anul 2006, Mii persoane, 13.4
G Comert, Total, Teleorman, Anul 2007, Mii persoane, 14.1
G Comert, Total, Teleorman, Anul 2008, Mii persoane, 13.3
G Comert, Total, Regiunea BUCURESTI - ILFOV, Anul 2001, Mii persoane, 140.3
G Comert, Total, Regiunea BUCURESTI - ILFOV, Anul 2002, Mii persoane, 141.6
G Comert, Total, Regiunea BUCURESTI - ILFOV, Anul 2003, Mii persoane, 155.6
G Comert, Total, Regiunea BUCURESTI - ILFOV, Anul 2004, Mii persoane, 164.1
G Comert, Total, Regiunea BUCURESTI - ILFOV, Anul 2005, Mii persoane, 194.4
G Comert, Total, Regiunea BUCURESTI - ILFOV, Anul 2006, Mii persoane, 211
G Comert, Total, Regiunea BUCURESTI - ILFOV, Anul 2007, Mii persoane, 237.3
G Comert, Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Mii persoane, 248.4
G Comert, Total, Ilfov, Anul 2001, Mii persoane, 8.9
G Comert, Total, Ilfov, Anul 2002, Mii persoane, 11.8
G Comert, Total, Ilfov, Anul 2003, Mii persoane, 11.2
G Comert, Total, Ilfov, Anul 2004, Mii persoane, 13.5
G Comert, Total, Ilfov, Anul 2005, Mii persoane, 23.3
G Comert, Total, Ilfov, Anul 2006, Mii persoane, 26.5
G Comert, Total, Ilfov, Anul 2007, Mii persoane, 31.2
G Comert, Total, Ilfov, Anul 2008, Mii persoane, 31.5
G Comert, Total, Municipiul Bucuresti, Anul 2001, Mii persoane, 131.4
G Comert, Total, Municipiul Bucuresti, Anul 2002, Mii persoane, 129.8
G Comert, Total, Municipiul Bucuresti, Anul 2003, Mii persoane, 144.4
G Comert, Total, Municipiul Bucuresti, Anul 2004, Mii persoane, 150.6
G Comert, Total, Municipiul Bucuresti, Anul 2005, Mii persoane, 171.1
G Comert, Total, Municipiul Bucuresti, Anul 2006, Mii persoane, 184.5
G Comert, Total, Municipiul Bucuresti, Anul 2007, Mii persoane, 206.1
G Comert, Total, Municipiul Bucuresti, Anul 2008, Mii persoane, 216.9
G Comert, Total, MACROREGIUNEA PATRU, Anul 2001, Mii persoane, 157.2
G Comert, Total, MACROREGIUNEA PATRU, Anul 2002, Mii persoane, 168.3
G Comert, Total, MACROREGIUNEA PATRU, Anul 2003, Mii persoane, 174.5
G Comert, Total, MACROREGIUNEA PATRU, Anul 2004, Mii persoane, 181.3
G Comert, Total, MACROREGIUNEA PATRU, Anul 2005, Mii persoane, 196.8
G Comert, Total, MACROREGIUNEA PATRU, Anul 2006, Mii persoane, 208.7
G Comert, Total, MACROREGIUNEA PATRU, Anul 2007, Mii persoane, 221.7
G Comert, Total, MACROREGIUNEA PATRU, Anul 2008, Mii persoane, 213.2
G Comert, Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Mii persoane, 73
G Comert, Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Mii persoane, 73.8
G Comert, Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Mii persoane, 76.1
G Comert, Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Mii persoane, 78.7
G Comert, Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Mii persoane, 86.4
G Comert, Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Mii persoane, 92.8
G Comert, Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Mii persoane, 99.1
G Comert, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Mii persoane, 93.3
G Comert, Total, Dolj, Anul 2001, Mii persoane, 27.6
G Comert, Total, Dolj, Anul 2002, Mii persoane, 28
G Comert, Total, Dolj, Anul 2003, Mii persoane, 28.7
G Comert, Total, Dolj, Anul 2004, Mii persoane, 29.7
G Comert, Total, Dolj, Anul 2005, Mii persoane, 31.4
G Comert, Total, Dolj, Anul 2006, Mii persoane, 33.9
G Comert, Total, Dolj, Anul 2007, Mii persoane, 38.2
G Comert, Total, Dolj, Anul 2008, Mii persoane, 37.2
G Comert, Total, Gorj, Anul 2001, Mii persoane, 11.4
G Comert, Total, Gorj, Anul 2002, Mii persoane, 9.7
G Comert, Total, Gorj, Anul 2003, Mii persoane, 11.3
G Comert, Total, Gorj, Anul 2004, Mii persoane, 12.4
G Comert, Total, Gorj, Anul 2005, Mii persoane, 13.4
G Comert, Total, Gorj, Anul 2006, Mii persoane, 14
G Comert, Total, Gorj, Anul 2007, Mii persoane, 13.1
G Comert, Total, Gorj, Anul 2008, Mii persoane, 13.2
G Comert, Total, Mehedinti, Anul 2001, Mii persoane, 9.3
G Comert, Total, Mehedinti, Anul 2002, Mii persoane, 6.8
G Comert, Total, Mehedinti, Anul 2003, Mii persoane, 8.4
G Comert, Total, Mehedinti, Anul 2004, Mii persoane, 7.6
G Comert, Total, Mehedinti, Anul 2005, Mii persoane, 8.6
G Comert, Total, Mehedinti, Anul 2006, Mii persoane, 9.4
G Comert, Total, Mehedinti, Anul 2007, Mii persoane, 10
G Comert, Total, Mehedinti, Anul 2008, Mii persoane, 9.2
G Comert, Total, Olt, Anul 2001, Mii persoane, 10
G Comert, Total, Olt, Anul 2002, Mii persoane, 10.6
G Comert, Total, Olt, Anul 2003, Mii persoane, 10.6
G Comert, Total, Olt, Anul 2004, Mii persoane, 11.2
G Comert, Total, Olt, Anul 2005, Mii persoane, 11.8
G Comert, Total, Olt, Anul 2006, Mii persoane, 13.1
G Comert, Total, Olt, Anul 2007, Mii persoane, 13.8
G Comert, Total, Olt, Anul 2008, Mii persoane, 12.6
G Comert, Total, Valcea, Anul 2001, Mii persoane, 14.7
G Comert, Total, Valcea, Anul 2002, Mii persoane, 18.7
G Comert, Total, Valcea, Anul 2003, Mii persoane, 17.1
G Comert, Total, Valcea, Anul 2004, Mii persoane, 17.8
G Comert, Total, Valcea, Anul 2005, Mii persoane, 21.2
G Comert, Total, Valcea, Anul 2006, Mii persoane, 22.4
G Comert, Total, Valcea, Anul 2007, Mii persoane, 24
G Comert, Total, Valcea, Anul 2008, Mii persoane, 21.1
G Comert, Total, Regiunea VEST, Anul 2001, Mii persoane, 84.2
G Comert, Total, Regiunea VEST, Anul 2002, Mii persoane, 94.5
G Comert, Total, Regiunea VEST, Anul 2003, Mii persoane, 98.4
G Comert, Total, Regiunea VEST, Anul 2004, Mii persoane, 102.6
G Comert, Total, Regiunea VEST, Anul 2005, Mii persoane, 110.4
G Comert, Total, Regiunea VEST, Anul 2006, Mii persoane, 115.9
G Comert, Total, Regiunea VEST, Anul 2007, Mii persoane, 122.6
G Comert, Total, Regiunea VEST, Anul 2008, Mii persoane, 119.9
G Comert, Total, Arad, Anul 2001, Mii persoane, 26.7
G Comert, Total, Arad, Anul 2002, Mii persoane, 27.4
G Comert, Total, Arad, Anul 2003, Mii persoane, 29.8
G Comert, Total, Arad, Anul 2004, Mii persoane, 29.6
G Comert, Total, Arad, Anul 2005, Mii persoane, 30.1
G Comert, Total, Arad, Anul 2006, Mii persoane, 31.5
G Comert, Total, Arad, Anul 2007, Mii persoane, 32.4
G Comert, Total, Arad, Anul 2008, Mii persoane, 30.9
G Comert, Total, Caras-Severin, Anul 2001, Mii persoane, 11.2
G Comert, Total, Caras-Severin, Anul 2002, Mii persoane, 10
G Comert, Total, Caras-Severin, Anul 2003, Mii persoane, 9.8
G Comert, Total, Caras-Severin, Anul 2004, Mii persoane, 10.3
G Comert, Total, Caras-Severin, Anul 2005, Mii persoane, 10.9
G Comert, Total, Caras-Severin, Anul 2006, Mii persoane, 11.6
G Comert, Total, Caras-Severin, Anul 2007, Mii persoane, 12.5
G Comert, Total, Caras-Severin, Anul 2008, Mii persoane, 12.1
G Comert, Total, Hunedoara, Anul 2001, Mii persoane, 18.5
G Comert, Total, Hunedoara, Anul 2002, Mii persoane, 24.4
G Comert, Total, Hunedoara, Anul 2003, Mii persoane, 25.1
G Comert, Total, Hunedoara, Anul 2004, Mii persoane, 26.1
G Comert, Total, Hunedoara, Anul 2005, Mii persoane, 27
G Comert, Total, Hunedoara, Anul 2006, Mii persoane, 27.8
G Comert, Total, Hunedoara, Anul 2007, Mii persoane, 30.2
G Comert, Total, Hunedoara, Anul 2008, Mii persoane, 30
G Comert, Total, Timis, Anul 2001, Mii persoane, 27.8
G Comert, Total, Timis, Anul 2002, Mii persoane, 32.7
G Comert, Total, Timis, Anul 2003, Mii persoane, 33.7
G Comert, Total, Timis, Anul 2004, Mii persoane, 36.6
G Comert, Total, Timis, Anul 2005, Mii persoane, 42.4
G Comert, Total, Timis, Anul 2006, Mii persoane, 45
G Comert, Total, Timis, Anul 2007, Mii persoane, 47.5
G Comert, Total, Timis, Anul 2008, Mii persoane, 46.9
G Comert, Feminin, TOTAL, Anul 2001, Mii persoane, 408.4
G Comert, Feminin, TOTAL, Anul 2002, Mii persoane, 410.9
